Name,Type,Country,Description,Supporting_Text
"Senegal","Country","None","Country mentioned as part of the COLUFIFA network and as the location of a national agency for ecovillages.","COLUFIFA ... a network of two hundred and fifty communities spanning Guinea, Guinea-Bissau, Senegal, and Gambia"
"Gambia","Country","None","One of the countries included in the COLUFIFA network of rural communities.","COLUFIFA ... a network of two hundred and fifty communities spanning Guinea, Guinea-Bissau, Senegal, and Gambia"
"United States","Country","None","Country where The Farm ecovillage is located, specifically in the southeastern United States.","The Farm, near Nashville, Tennessee, in the southeastern United States"
"Tennessee","Region","United States","S. U. state that contains The Farm ecovillage near Nashville. state where The Farm ecovillage is situated.","The Farm, near Nashville, Tennessee, in the southeastern United States"
"Nashville","City","United States","City in Tennessee referenced as the nearest urban centre to The Farm ecovillage.","The Farm, near Nashville, Tennessee, in the southeastern United States"
"Berlin","City","None","German capital mentioned as the nearby city to the ZEGG ecovillage.","The German ecovillage ZEGG (Zentrum für experimentelle Gesellschaftsgestaltung, or Center for Experimental Cultural Design), located just outside Berlin"
"ZEGG","Other","Germany","German ecovillage that chose to source food from local organic suppliers to strengthen regional sustainability networks. German ecovillage that runs technology‑dissemination programmes and community p...","German ecovillage ZEGG"
"Belzig","City","None","Neighbouring town where ZEGG helped create a free school.","ZEGG has been an active partner in local initiatives to create a free school in the neighboring town of Belzig"
"Potsdam‑Mittelmark","Region","None","Regional administration that awarded ZEGG the "Local Agenda 21" prize.","In 2004, ZEGG won the "Local Agenda 21" award set up by the regional administration of Potsdam‑Mittelmark in the state of Brandenburg"
"Brandenburg","Region","None","German state that contains the Potsdam‑Mittelmark region where ZEGG received an award.","In 2004, ZEGG won the "Local Agenda 21" award set up by the regional administration of Potsdam‑Mittelmark in the state of Brandenburg"
"Findhorn Foundation","Institution","United Kingdom","Ecovillage in Scotland that hosts a UN CIFAL training centre and collaborates with universities and local agencies.","Today, the ecovillage hosts a UN CIFAL training center (one of eleven such centers worldwide), which provides sustainability‑related training for local governments and other local actors."
"UN CIFAL training centre","Institution","None","United Nations‑run training centre located at the Findhorn ecovillage.","Today, the ecovillage hosts a UN CIFAL training center (one of eleven such centers worldwide), which provides sustainability‑related training for local governments and other local actors."
"United Nations","Institution","None","International body that is forming partnerships with ecovillages worldwide.","Even at the highest level, international bodies--including the United Nations (UN)--are entering into partnerships with ecovillages."
"Gaia University","Institution","None","Recently organised university offering degrees through ecovillage‑based institutes.","degrees from ecovillage‑based institutes through the recently organized Gaia University"
"Centre for Alternative Technology","Institution","None","Founding member of GEN that leads the Ecodyfi initiative in Wales.","The Centre for Alternative Technology, a founding member of the GEN, is a leading player in the Ecodyfi initiative in Wales"
"Wales","Region","United Kingdom","Region where the EcoDyfi initiative operates as a hub for sustainability networks. Welsh region where the Ecodyfi initiative is implemented in the Dyfi valley.","Ecodyfi initiative in Wales, an effort that brings together local authorities, the Welsh Assembly, various community groups, and specialist organizations with the mission "to foster sustainable community regeneration in the Dyfi valley""
"Dyfi valley","Region","United Kingdom","Valley in Wales targeted by the Ecodyfi sustainable‑community regeneration programme.","Ecodyfi initiative in Wales, an effort that brings together local authorities, the Welsh Assembly, various community groups, and specialist organizations with the mission "to foster sustainable community regeneration in the Dyfi valley""
"Welsh Assembly","Institution","United Kingdom","Welsh devolved legislature that participates in the Ecodyfi partnership.","Ecodyfi initiative in Wales, an effort that brings together local authorities, the Welsh Assembly, various community groups, and specialist organizations"
"Highlands and Islands","Region","United Kingdom","Scottish region for which Findhorn provides training and consultancy through the Highlands and Islands Food Network.","Findhorn teaches courses jointly with Scottish universities, is a training and demonstration center for the Highlands and Islands Food Network's community‑supported agriculture (CSA) program"
"Cairngorm National Park","Institution","United Kingdom","Scottish national park that receives consultancy services from Findhorn members.","members who provide consultancy services for local organizations as diverse as the Cairngorm National Park and the Development Trusts Association of Scotland"
"Development Trusts Association of Scotland","Institution","United Kingdom","Scottish association that works with Findhorn on community‑development projects.","members who provide consultancy services for local organizations as diverse as the Cairngorm National Park and the Development Trusts Association of Scotland"
"Brazil","Country","None","Country that commissioned La Caravana Arcoiris por la Paz to develop community‑based cultural centres.","Between 2005 and 2008, La Caravana was commissioned by the Brazilian government to help develop fifty community‑based cultural centers in Brazilian towns and villages"
"La Caravana Arcoiris por la Paz","Institution","None","Mobile community of artists and ecological activists that tours Latin America and works with the Brazilian and Mexican governments.","La Caravana Arcoiris por la Paz (the Rainbow Caravan of Peace), a community of artists and ecological activists that have toured Latin America for the last ten years in a caravan of buses teaching sustainability through the arts"
"Coyoacán district","Region","Mexico","District of Mexico City where La Caravana collaborates with the local Secretariat of Culture.","La Caravana is doing similar work in cooperation with the Secretariat of Culture in the Coyoacán district of Mexico City"
"Mexico City","City","Mexico","Capital of Mexico mentioned as the location of the Coyoacán district partnership.","La Caravana is doing similar work in cooperation with the Secretariat of Culture in the Coyoacán district of Mexico City"
"Mexico","Country","None","Country whose capital city (Mexico City) hosts a cultural partnership with La Caravana.","La Caravana is doing similar work in cooperation with the Secretariat of Culture in the Coyoacán district of Mexico City"
"United Kingdom","Country","None","Country referenced when comparing ecological footprints to the national average.","community residents have a per capita ecological footprint that is one‑half of the UK national average"
"Sarvodaya","Other","Sri Lanka","A Sri Lankan organization that was an active player in clean‑up and reconstruction after the South Asian tsunami.","Sarvodaya in Sri Lanka"
"Port‑au‑Prince","City","Haiti","Capital city of Haiti, site of the 2009 earthquake reconstruction efforts.","Port‑au‑Prince, Haiti"
"Swedish parliament","Institution","Sweden","Legislative body where the Right Livelihood Award was presented to The Farm.","Swedish parliament in Stockholm"
"Stockholm","City","Sweden","Capital city of Sweden, location of the Swedish parliament.","Swedish parliament in Stockholm"
"United Nations Institute for Training and Research (UNITAR)","Institution","None","UN agency that endorsed the ecovillage curriculum.","United Nations Institute for Training and Research (UNITAR)"
"United Nations Educational, Scientific and Cultural Organisation (UNESCO)","Institution","None","UN agency that welcomed the ecovillage curriculum as a contribution to its Decade of Education for Sustainable Development.","United Nations Educational, Scientific and Cultural Organisation (UNESCO)"
"Open University of Catalunya","Institution","Spain","Spanish university that offers the ecovillage curriculum as a master’s program.","Open University of Catalunya in Spain"
"EcoDyfi initiative","Other","United Kingdom","Regional hub for sustainability‑related initiatives based in Wales.","EcoDyfi initiative in Wales"
"Germany","Country","Germany","Country of the ZEGG ecovillage mentioned in the text.","German ecovillage ZEGG"
"Kenya","Country","Kenya","Country where the Green Belt Movement (GBM) mobilizes communities for tree‑planting and environmental conservation.","The Green Belt Movement (GBM) in Kenya"
"Green Belt Movement (GBM)","Institution","Kenya","Kenyan movement that manages community networks and tree nurseries, recognized with the Nobel Peace Prize.","The Green Belt Movement (GBM) in Kenya"
