Name,Type,Role,Country,Description,Supporting_Text
"Peter Kropotkin","Individual","His anarchist philosophy influenced late‑19th‑century intentional communities that sought egalitarian, self‑sufficient living.","None","Russian anarchist theorist.","the works of the Anarchists, in particular Peter Kropotkin and Lev Tolstoy."
"Lev Tolstoy","Individual","Contributed anarchist‑inspired ideas that shaped some short‑lived intentional communities.","None","Russian writer and moral philosopher.","the works of the Anarchists, in particular Peter Kropotkin and Lev Tolstoy."
"Michael Blouin","Individual","Identified historic communities such as Brook Farm, linking past experiments to modern eco‑village movements.","None","Researcher who studies the roots of intentional communities.","Michael Blouin picked out Brook Farm"
"Robert Gilman","Individual","Advocated for co‑housing as a sustainable way of life, influencing later intentional community designs.","United States","Author of the most widely‑used definition of an ecovillage. Co‑author of the influential paper “In Context” on co‑housing and eco‑village models.","Robert and Diane Gilman in their paper called In Context (Seattle) commenced to report on this and similar initiatives at the turn of the 1980s-1990s."
"Diane Gilman","Individual","Advocated for co‑housing as a sustainable way of life, influencing later intentional community designs.","United States","Co‑author of the influential paper “In Context” on co‑housing and eco‑village models.","Robert and Diane Gilman in their paper called In Context (Seattle) commenced to report on this and similar initiatives at the turn of the 1980s-1990s."
"Ross Jackson","Individual","Helped launch cooperation between Gaia Trust and eco‑village projects, supporting community development.","None","Co‑operator of the organisation Gaia Trust.","Ross and Hildur Jackson who operated the organisation called Gaia Trust"
"Hildur Jackson","Individual","Helped launch cooperation between Gaia Trust and eco‑village projects, supporting community development.","None","Co‑operator of the organisation Gaia Trust.","Ross and Hildur Jackson who operated the organisation called Gaia Trust"
"Findhorn Foundation","Organization","Serves as a flagship eco‑village, demonstrating ecological living and inspiring the global eco‑village movement.","United Kingdom","Ecological intentional community in the north of Scotland. Eco‑village and intentional community founded in Scotland in 1962.","the Findhorn Foundation established in 1962 Scotland"
"United Kibbutz Movement","Organization","Organises and supports kibbutz‑style intentional communities that practice cooperative agriculture and sustainability.","Israel","Israeli collective movement that coordinates kibbutz communities.","the related movement (United Kibbutz Movement) was formed in 1927."
"Mother Earth News","Organization","Pioneered organic gardening and energy‑saving houses on its own premises, branding itself as an early eco‑village and spreading sustainable practices.","United States","Magazine based in Hendersonville, Northern California.","the magazine called Mother Earth News (Hendersonville, North-California) started to set up organic gardens and energy saving houses next to their offices in 1975, which also functioned as education centres, and they started to call themselves eco-village from 1979 on."
"Gaia Trust","Organization","Operated and sponsored eco‑village initiatives, including the 1995 international meeting in Findhorn.","None","Non‑profit organisation that supports eco‑village projects.","organised and sponsored by the Gaia Trust and the Findhorn Foundation."
"Global Ecovillage Network (GEN)","Coalition","Facilitates communication, knowledge exchange, and funding among eco‑villages, accelerating the global movement.","None","International network linking eco‑villages worldwide. Worldwide network that connects ecovillages and facilitates alliances across the movement.","Global Ecovillage Network (GEN) was launched in 1994, in which the Hungarian Gyűrűfű project has already been involved as one of the funding members."
"Hungarian Gyűrűfű project","Organization","Participated as a funding member of GEN, contributing to the international eco‑village network.","Hungary","Eco‑village project in Hungary.","the Hungarian Gyűrűfű project has already been involved as one of the funding members."
"Danish eco‑village network","Coalition","Co‑ordinated Danish eco‑village initiatives and served as a model for later international networks.","Denmark","National network of eco‑villages in Denmark.","the Danish eco-village network was set up, the first of this kind"
"Essenes","Other","Early example of an intentional community that withdrew from dominant culture to live by shared principles.","Palestine","Religious group that lived in Palestine during the 1st century BCE/CE.","the Essenes, a religious group operating in Palestine in the first century before Christ"
"Franciscans","Other","Provided a model of communal, spiritually‑motivated living that influenced later intentional communities.","None","Catholic monastic order founded in the 13th century.","examples like the Franciscans, the Dominicans, the Carmelites and the Benedictines."
"Dominicans","Other","Provided a model of communal, spiritually‑motivated living that influenced later intentional communities.","None","Catholic monastic order founded in the 13th century.","examples like the Franciscans, the Dominicans, the Carmelites and the Benedictines."
"Carmelites","Other","Provided a model of communal, spiritually‑motivated living that influenced later intentional communities.","None","Catholic monastic order founded in the 13th century.","examples like the Franciscans, the Dominicans, the Carmelites and the Benedictines."
"Benedictines","Other","Provided a model of communal, spiritually‑motivated living that influenced later intentional communities.","None","Catholic monastic order founded in the 6th century, flourishing in the medieval period.","examples like the Franciscans, the Dominicans, the Carmelites and the Benedictines."
"Brotherhood of the Free Spirit","Other","Early heretical intentional community that pursued alternative spiritual and social organization.","None","Lay Christian heretical movement in Western Europe during the late medieval period.","the lay Christian movement of the Brotherhood of the Free Spirit"
"Shakers","Other","One of the longest‑standing intentional communities, exemplifying durability of faith‑based ecological living.","None","Religious communal group that migrated from Europe to North America (18th–19th c.).","Shakers, Hutterites, Mennonites"
"Hutterites","Other","Historical intentional community that practiced collective agriculture and shared resources.","None","Anabaptist communal group established in Central Europe and later North America.","Shakers, Hutterites, Mennonites"
"Mennonites","Other","Historical intentional community that contributed to early eco‑village practices through collective farming.","None","Anabaptist Christian group with a tradition of communal settlements.","Shakers, Hutterites, Mennonites"
"Israeli Kibbutzes","Other","Pioneered large‑scale cooperative living and sustainable agriculture, influencing later eco‑village models.","Israel","Collective agricultural settlements in Israel, beginning in the early 20th century.","touched upon the Israeli Kibbutzes only shortly as significant intentional communities"
"South‑Indian Auroville","Other","Serves as a model of spiritually‑guided ecological living and global cooperation.","India","International intentional community founded in 1968 in Tamil Nadu, India.","the South-Indian Auroville"
"The Farm","Other","Early American eco‑village that practices sustainable agriculture and communal governance.","United States","An ecovillage in Tennessee, USA, known for protecting indigenous cultures of the Americas. Intentional community established in 1971 in Tennessee, United States. Intentional community near Nashville, ...","The Farm in the United States"
"Jonathan Dawson","Individual","Provides scholarly analysis and narrative on intentional ecovillage communities for ecological regeneration and environmental sustainability.","None","Author of the chapter discussing the history and future of the ecovillage movement.","Jonathan Dawson"
"Sarvodaya","NGO","Networks Southern communities, partners with the Global Ecovillage Network and promotes ecological regeneration at the village level.","Sri Lanka","A Sri Lankan community‑based organization that works on post‑disaster recovery and sustainable development. Sri Lankan non‑governmental organization working with almost two thousand primarily rural co...","Examples include Sarvodaya, a group that works with almost two thousand primarily rural communities across Sri Lanka"
"COLUFIFA","Coalition","Links West African villages into a collaborative platform for ecological and social initiatives, and participates in GEN alliances.","Guinea, Guinea-Bissau, Senegal, Gambia","Transnational network of about 250 rural communities across Guinea, Guinea‑Bissau, Senegal and Gambia.","COLUFIFA (a French acronym meaning Committee for the Struggle to End Hunger), a network of two hundred and fifty communities spanning Guinea, Guinea-Bissau, Senegal, and Gambia"
"GEN Senegal","Organization","Acts as the primary GEN liaison in Senegal, supporting community‑level ecological regeneration and empowerment.","Senegal","Senegalese member of the Global Ecovillage Network that networks over thirty villages.","GEN Senegal, an organization that networks over thirty communities in the west African state"
"Ari Ariayaratne","Individual","Established a large‑scale community network that collaborates with GEN and promotes sustainable livelihoods.","Sri Lanka","Founder of the Sarvodaya movement in Sri Lanka.","the Sarvodaya movement created by Ari Ariayaratne in Sri Lanka"
"Demba Mansare","Individual","Created a coalition that connects hundreds of villages for joint ecological and social action.","None","Founder of the COLUFIFA network of rural communities in West Africa.","COLUFIFA, the transnational network of rural communities created by Demba Mansare in west Africa"
"Nature Conservancy","NGO","Partnered with The Farm in the Big Swan Headwaters Preserve to protect thousands of acres from development.","International","International conservation charity.","inter national charities like Nature Conservancy"
"Plenty","NGO","Delivers disaster response (e.g., post‑hurricane New Orleans, Haiti, Gulf Coast) and incubates community‑based enterprises.","International","International charity based at The Farm that provides emergency relief and long‑term community support.","An international charity based at the Farm--Plenty--works in emergency relief arenas"
"ZEGG (Zentrum für experimentelle Gesellschaftsgestaltung)","Organization","Develops and disseminates appropriate technologies, runs local sustainability projects, and engages in cultural and social initiatives.","Germany","German ecovillage located just outside Berlin.","The German ecovillage ZEGG (Zentrum für experimentelle Gesellschaftsgestaltung, or Center for Experimental Cultural Design), located just outside Berlin"
"UN CIFAL training centre","Organization","Delivers sustainability‑related training for local governments and other actors at Findhorn.","International","United Nations sustainability‑training programme, one of eleven worldwide.","the ecovillage hosts a UN CIFAL training center (one of eleven such centers worldwide)"
"Scottish government","Government","Provides political and financial support that enables Findhorn’s training and partnership activities.","United Kingdom (Scotland)","Devolved government of Scotland.","This is made possible by political and financial support from the Scottish government and local govern ment authorities"
"Cairngorm National Park","Organization","Receives consultancy services from Findhorn members for ecological and community projects.","Scotland","National park authority in the Scottish Highlands.","consultancy services for local organizations as diverse as the Cairngorm National Park"
"Development Trusts Association of Scotland","Organization","Works with Findhorn consultants on economic, ecological and community‑development initiatives.","Scotland","Scottish umbrella body supporting community‑led development.","the Development Trusts Association of Scotland"
"Centre for Alternative Technology","Organization","Leads the Ecodyfi initiative that brings together local authorities, the Welsh Assembly and community groups for regional regeneration.","Wales","Sustainability centre in Wales and founding member of the GEN.","The Centre for Alternative Technology, a founding member of the GEN"
"Welsh Assembly","Government","Participates in the Ecodyfi initiative alongside local authorities and specialist organisations.","United Kingdom (Wales)","Devolved legislature of Wales.","local authorities, the Welsh Assembly"
"National Agency for Ecovillages","Government","Coordinates a national programme to upgrade water, energy and agroforestry infrastructure across Senegal’s villages.","Senegal","Senegalese state agency created to transform villages into ecovillages.","the decision by the government of Senegal to create a National Agency for Ecovillages"
"La Caravana Arcoiris por la Paz (Rainbow Caravan of Peace)","Organization","Teaches sustainability through the arts and has developed community‑based cultural centres in partnership with governments.","Latin America","Mobile community of artists and ecological activists touring Latin America.","La Caravana Arcoiris por la Paz (the Rainbow Caravan of Peace), a community of artists and ecological activists that have toured Latin America"
"Brazilian government","Government","Commissioned La Caravana to develop fifty community‑based cultural centres in Brazilian towns and villages.","Brazil","Federal government of Brazil.","Between 2005 and 2008, La Caravana was commissioned by the Brazilian government"
"Gilberto Gill","Individual","Inspired the alliance between the Brazilian government and La Caravana.","Brazil","Brazilian singer who served as Minister of Culture.","the legendary Brazilian singer Gilberto Gill, who as Brazil's Minister of Culture inspired this alliance"
"Secretariat of Culture in the Coyoacán district of Mexico City","Government","Cooperates with La Caravana on cultural‑sustainability projects.","Mexico","Local cultural authority in the Coyoacán district of Mexico City.","cooperation with the Secretariat of Culture in the Coyoacán district of Mexico City"
"Oxfam","NGO","Recognises ecovillages as valuable partners in grassroots development and sustainability work.","International","International development and humanitarian NGO.","more grassroots-focused organizations like Oxfam and Save the Children"
"Save the Children","NGO","Recognises ecovillages as valuable partners in grassroots development and sustainability work.","International","International NGO focused on children's rights and development.","more grassroots-focused organizations like Oxfam and Save the Children"
"Gaia University","Organization","Provides accredited academic programmes for students studying in ecovillages.","None","Educational institution offering degrees from ecovillage‑based institutes.","degrees from ecovillagebased institutes through the recently organized Gaia University"
"Auroville","Organization","Active player in clean‑up and reconstruction after the South Asian tsunami.","India","An intentional ecovillage in India that participates in post‑disaster clean‑up and reconstruction activities.","Three ecovillages--Auroville in India, Sarvodaya in Sri Lanka, and The Farm in Tennessee--were active players alongside government and local community-based organizations in the clean-up and reconstruction activities following the south Asian tsunami..."
"United Nations","Organization","Awarded Sarvodaya the UN Habitat Scroll of Honor and endorsed the Gaia Education curriculum through its agencies.","International","International intergovernmental organization that recognizes and supports sustainability initiatives.","In 2009, Sarvodaya was awarded the United Nations' prestigious UN Habitat Scroll of Honor... The curriculum, developed by educators... has been endorsed by the United Nations Institute for Training and Research (UNITAR) and welcomed by the United Nations Educational, Scientific and Cultural Organisa..."
"UN Habitat","Organization","Issued the Scroll of Honor recognizing Sarvodaya’s post‑disaster recovery work.","International","United Nations Human Settlements Programme, part of the UN system.","In 2009, Sarvodaya was awarded the United Nations' prestigious UN Habitat Scroll of Honor..."
"Gaia Education","Organization","Created a sustainability curriculum endorsed by UN agencies and taught globally.","None","A network that develops educational curricula based on best practices from ecovillages worldwide.","linking ecovillage initiatives North and South, Gaia Education has developed an educational curriculum drawn from best practice within ecovillages globally."
"UNITAR","Organization","Endorsed the Gaia Education curriculum as a valuable contribution to the UN Decade of Education for Sustainable Development.","International","United Nations Institute for Training and Research, supporting capacity‑building for sustainable development.","The curriculum... has been endorsed by the United Nations Institute for Training and Research (UNITAR) and welcomed by the United Nations Educational, Scientific and Cultural Organisation (UNESCO)..."
"UNESCO","Organization","Welcomed the Gaia Education curriculum as a contribution to the UN Decade of Education for Sustainable Development.","International","United Nations Educational, Scientific and Cultural Organization, promoting education for sustainable development.","The curriculum... has been endorsed by ... UNESCO as a valuable contribution to its UN Decade of Education for Sustainable Development."
"Open University of Catalunya","Organization","Delivers the ecovillage sustainability curriculum virtually as a master's program.","Spain","A Spanish university offering distance education and a master's program on the Gaia Education curriculum.","the course is now being taught ... through the Open University of Catalunya in Spain, where it is now offered as a master's program."
"David Holmgren","Individual","Provides scenario analysis that frames the potential future relevance of ecovillages.","None","Co‑originator of the permaculture concept and author of "Future Scenarios" on peak oil and climate change.","David Holmgren's Future Scenarios provides some insights into how the near- to medium-term future may unfold and the likely relevance of initiatives that are based on ecological design principles, such as ecovillages..."
"Vandana Shiva","Individual","Leads a movement that supports small‑scale farmers and seed banks, aligning with ecovillage goals of ecological regeneration.","India","Indian scholar‑activist and founder of the Bija Satyagraha Movement, defending seed sovereignty.","Vandana Shiva's Bija Satyagraha Movement, for example, is on the forefront of the battle between smallscale Indian farmers and multinational corporations over control of the production and use of seeds in the country."
"Bija Satyagraha Movement","Coalition","Works to protect indigenous seed varieties and supports ecological regeneration aligned with ecovillage principles.","India","A grassroots movement in India advocating for seed sovereignty and farmer rights.","Vandana Shiva's Bija Satyagraha Movement, for example, is on the forefront of the battle between smallscale Indian farmers and multinational corporations over control of the production and use of seeds in the country."
"Green Belt Movement (GBM)","NGO","Mobilizes communities for environmental conservation, tree planting, and sustainable livelihoods.","Kenya","Kenyan environmental organization founded by Wangari Maathai, focusing on tree planting and community empowerment.","The Green Belt Movement (GBM) in Kenya, meanwhile, sees its mission as mobilizing communities for self-determination, justice, equity, poverty reduction, and environmental conservation... The work of the GBM was recognized by the awarding of the Nobel Peace Prize to its founder, Wangari Maathai..."
"Wangari Maathai","Individual","Founded and led GBM, championing tree‑planting and community‑based environmental stewardship.","Kenya","Kenyan environmentalist and Nobel Peace Prize laureate, founder of the Green Belt Movement.","The work of the GBM was recognized by the awarding of the Nobel Peace Prize to its founder, Wangari Maathai, in 2004."
"EcoDyfi initiative","Organization","Acts as a regional hub linking ecovillages with broader sustainability networks.","United Kingdom","A regional ecovillage network in Wales that serves as a hub for sustainability initiatives.","An emerging trend is for existing ecovillages in the industrialized world to become regional hubs for networks of sustainability-related initiatives. This path is best exemplified by the EcoDyfi initiative in Wales described above..."
"ZEGG","Organization","Demonstrates a model of ecovillage resilience by integrating local food networks into its sustainability practices.","Germany","A German ecovillage that offers educational courses and has adapted its food procurement strategy to support local organic suppliers.","Several years ago, the German ecovillage ZEGG was faced with a decision on how to meet increased demands for food... the community chose to buy more from local organic suppliers outside the ecovillage..."
"Transition Movement","Coalition","Mobilizes existing communities to develop resilience projects, complementing ecovillage efforts.","None","A global network of community‑based initiatives that aim to build resilience and reduce dependence on fossil fuels.","The Transition Movement, in which existing communities are mobilizing their resources with the aim of building resilience and reducing their dependence on fossil fuels, is but one of a number of similar movements across the industrialized world."
