Name,Type,Country,Description,Supporting_Text
"United Nations Framework Convention on Climate Change (UNFCCC)","Institution","None","UN body that defined REDD+ in a 2007 publication.","The '+' in REDD+ highlights the explicit incorporation of sustainable management of forests and the conservation and enhancement of forest carbon stocks (UNFCCC, 2007)."
"International Land Coalition (ILC)","Institution","None","Coalition cited for estimating the scale of global land acquisitions.","RRI (2012c) reported that in 2011, Oxfam and the International Land Coalition (ILC) estimated that more than 200 million hectares had been bought or leased by agribusinesses since 2001."
"Oxfam","Institution","None","NGO mentioned alongside the International Land Coalition in reporting large‑scale land acquisitions.","RRI (2012c) reported that in 2011, Oxfam and the International Land Coalition (ILC) estimated that more than 200 million hectares had been bought or leased by agribusinesses since 2001."
"CIFOR","Institution","None","International research organization that keeps community‑based forestry on its agenda.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"FAO","Institution","None","United Nations food and agriculture agency referenced in multiple policy and outlook contexts.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"ITTO","Institution","None","International Tropical Timber Organization mentioned as a stakeholder in community‑based forestry.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"RECOFTC","Institution","None","Center for research on tropical forests listed among organizations supporting CBF.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"Tropical Agricultural Research and Higher Education Center (CATIE)","Institution","None","Regional research centre cited as an actor maintaining CBF on its agenda.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"International Forestry Research Institute (IFRI)","Institution","None","Institute that announced the FLARE network in early 2015.","In early 2015 IFRI announced the establishment of the Forests and Livelihoods: Assessment, Research and Engagement (FLARE) network..."
"FLARE network","Institution","None","Community‑of‑practice network launched by IFRI to advance knowledge on forest‑based livelihoods.","In early 2015 IFRI announced the establishment of the Forests and Livelihoods: Assessment, Research and Engagement (FLARE) network, a community of practice with the aim of advancing the state of knowledge regarding forest-based livelihoods."
"Center for International Forestry Research (CIFOR)","Institution","None","Research organization that included improving livelihoods through smallholder and community forestry as a strategic research domain.","The Center for International Forestry Research (CIFOR, 2008) has included "Improving livelihoods through smallholder and community forestry" as one of the six research domains in its 2008−2018 strategic plan."
"International Tropical Timber Organization (ITTO)","Institution","None","Intergovernmental organization that listed Community Forest Management and Enterprises as a thematic programme.","The International Tropical Timber Organization (ITTO, 2014) has included Community Forest Management and Enterprises as one of its five thematic programmes."
"Food and Agriculture Organization (FAO)","Institution","None","United Nations agency revamping its programme on community‑based forestry to support rural poverty alleviation, food security, and sustainable resource provision.","FAO, through its new Strategic Framework, is revamping its programme on community-based forestry to contribute to its five Strategic Objectives, in particular to rural poverty alleviation, food security and nutrition and the sustainable provision of goods and services from natural resources (FAO, 20..."
