Name,Type,Role,Country,Description,Supporting_Text
"Rackham","Individual","Documented functional local management systems that are retrospectively identified as community‑based forestry.","None","Scholar who authored a 1986 study on European forest commons.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Gilmour","Individual","Co‑authored research that identified and described community‑based forestry practices.","None","Scholar co‑author of works on community‑based forestry in the late 20th century.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Fisher","Individual","Co‑authored research that identified and described community‑based forestry practices.","None","Scholar co‑author of works on community‑based forestry in the late 20th century.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Jeanrenaud","Individual","Provided academic evidence of historic communal forest management that underpins modern community‑based forestry concepts.","None","Scholar who published a 2001 study on forest commons and community management.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Wiersum","Individual","Contributed research documenting historic communal forest governance relevant to community‑based forestry.","None","Scholar co‑author of a 2004 publication on community forestry.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Singhal","Individual","Contributed research documenting historic communal forest governance relevant to community‑based forestry.","None","Scholar co‑author of a 2004 publication on community forestry.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Benneker","Individual","Contributed research documenting historic communal forest governance relevant to community‑based forestry.","None","Scholar co‑author of a 2004 publication on community forestry.","Functional local management systems were in place to govern how these common forests were used, systems that would currently be considered community-based forestry (Rackham, 1986; Gilmour and Fisher, 1991; Jeanrenaud, 2001; Wiersum, Singhal and Benneker, 2004)."
"Odera","Individual","Analyzed the shift to scientific forestry that displaced indigenous regimes, providing context for later community‑based forestry movements.","None","Scholar cited for work on African forest management and the imposition of scientific forestry.","These pre‑modern management regimes, which include those within tribal and post‑feudal societies, were highly variable but also dynamic (e.g. Odera, 2004 and Couillard et al., 2009 for Africa; …)."
"Couillard","Individual","Analyzed the shift to scientific forestry that displaced indigenous regimes, providing context for later community‑based forestry movements.","None","Scholar cited for work on African forest management.","These pre‑modern management regimes, which include those within tribal and post‑feudal societies, were highly variable but also dynamic (e.g. Odera, 2004 and Couillard et al., 2009 for Africa; …)."
"Poffenberger","Individual","Provided historical analysis of indigenous forest regimes that were later replaced by scientific forestry, informing the need for community‑based approaches.","None","Scholar cited for work on South and Southeast Asian forest management histories.","These pre‑modern management regimes, which include those within tribal and post‑feudal societies, were highly variable but also dynamic (e.g. … Poffenberger, 2000 for South Asia; Poffenberger, n.d. for Southeast Asia; …)."
"Elinor Ostrom","Individual","Provided the foundational narrative that legitimized community‑based forestry as a sustainable management approach.","None","Political economist who popularized the narrative that local communities can autonomously manage forest commons.","The popularity of community-based forestry as a formal type of forestry rests primarily on a narrative popularized by Ostrom (1990) that local communities, when granted sufficient property rights over local forest commons, can organize autonomously and develop local institutions to regulate the use ..."
"Tole","Individual","Highlighted how IMF and World Bank conditionality lending encouraged governments to adopt CBF as a policy solution.","None","Scholar who analyzed the macro‑economic reforms influencing community‑based forestry.","Tole (2010, p. 1312) noted that CBF initiatives "fit squarely within the larger economy wide and institutional reforms that many governments have been pursuing under IMF [International Monetary Fund] and World Bank conditionality lending since the 1990s."
"International Monetary Fund (IMF)","Organization","Its lending conditions have pushed governments toward decentralised forest management such as community‑based forestry.","None","International financial institution that provides conditionality lending to governments.","fit squarely within the larger economy wide and institutional reforms that many governments have been pursuing under IMF [International Monetary Fund] and World Bank conditionality lending since the 1990s."
"International Forestry Resources and Institutions (IFRI)","Organization","Reported on policy emphasis for decentralized forest management and community participation in CBF.","None","Research network that documents forest governance and policy trends.","as reported by International Forestry Resources and Institutions [IFRI] and FAO, in preparation) have noted that the policy emphasis on promoting decentralized forest management is also a response to factors that include community demands..."
"United Nations (UN)","Organization","Adopted the Declaration on the Rights of Indigenous Peoples, giving additional impetus to community‑based forestry movements.","None","International intergovernmental organization.","The United Nations (UN) Declaration on the Rights of Indigenous Peoples (adopted by the UN in 2007) has given additional impetus to this movement."
"Forests, Trees and People Programme (FTPP)","Organization","Served as a platform for developing and supporting networks that exchange information on community‑based forestry.","None","FAO programme that supports forest‑related research, policy, and networking.","FAO's Forests, Trees and People Programme (FTPP), with its regional hubs, was an important platform for developing and supporting networks to exchange information and share experiences."
"Social Forestry Network / Rural Development Forestry Network (Overseas Development Institute)","Organization","Influential in spreading ideas and experiences of community‑based forestry to practitioners and policy‑makers worldwide.","United Kingdom","Network within the UK‑based Overseas Development Institute that disseminates social forestry knowledge.","Similarly, the Social Forestry Network (subsequently the Rural Development Forestry Network) of the Overseas Development Institute in the United Kingdom was influential in spreading ideas and experiences to practitioners and policy‑makers around the world."
"RECOFTC (Regional Center for Research on Forestry and Agroforestry)","Organization","Provides capacity‑building support for community‑based forestry in the Asia‑Pacific region.","Thailand","Research centre based in Bangkok focusing on forestry and agroforestry in Asia and the Pacific.","RECOFTC was established in 1987 in Bangkok to provide a focus on capacity building for CBF in Asia and the Pacific."
"Arnold","Individual","Called for a period of consolidation and critical analysis of CBF programmes.","None","Researcher who reviewed progress of community‑based forestry up to 2001.","Arnold (2001), in reviewing progress with CBF over the previous 25 years, noted that "it could be desirable if there were now to be a period of consolidation, moving from promotion to critical analysis, with increased consideration of how best to address weaknesses and problems that have arisen"."
"Lawrence","Individual","Described CBF as a dynamic process moving from reductionist to systemic approaches.","None","Scholar who discussed the evolving nature of community‑based forestry.","Lawrence (2007, p.  9) emphasized that CBF is not static. She argued that the evolutionary path of CBF "follows a trend from reductionist to systemic, from simple to complex and from planned to adaptive."
"McDermott","Individual","Identified distinct evolutionary pathways of CBF across regions.","None","Researcher who compared collaborative CBF regimes in the global North and South.","McDermott and Schreckenberg (2009) noted distinct differences in the way that collaborative forms of CBF regimes have evolved in the global North and South."
"Schreckenberg","Individual","Co‑identified regional differences in collaborative CBF development.","None","Researcher who co‑authored analysis of CBF evolution across regions.","McDermott and Schreckenberg (2009) noted distinct differences in the way that collaborative forms of CBF regimes have evolved in the global North and South."
"Pokharel","Individual","Highlighted how Nepal’s community forestry expanded from environmental goals to broader social and governance objectives.","None","Researcher who documented the historical trajectory of community forestry in Nepal.","As noted by Pokharel et al. (2008, p. 81), community forestry in Nepal ""was initiated as part of an environmental movement, which aimed to conserve forests ... Later, it encompassed issues of gender, livelihoods and local institutional sustainability ... Most recently, governance, democracy and soc..."
"Cheng","Individual","Provided case studies of small‑scale, pilot community‑based forestry initiatives.","None","Researcher cited for examples of grassroots CBF projects in the global North.","in the North CBF has emerged on a smaller scale, in the form of diverse pilot projects and local innovations sprouting from the grassroots (see e.g. Cheng and Fernandez‑Gimenez, 2006a)."
"Fernandez‑Gimenez","Individual","Co‑authored case studies of pilot community‑based forestry projects.","None","Researcher cited alongside Cheng for grassroots CBF examples in the North.","in the North CBF has emerged on a smaller scale, in the form of diverse pilot projects and local innovations sprouting from the grassroots (see e.g. Cheng and Fernandez‑Gimenez, 2006a)."
"Agrawal","Individual","Provided evidence that community demands and capacities influence policy emphasis on decentralized forest management.","None","Scholar who examined community demands and capacity for sustainable resource governance.","community demands for a greater say in natural resource governance and recognition by many decision‑makers that communities have the capacity to manage resources sustainably (e.g. Agrawal and Ostrom, 2001;..."
"Gautam","Individual","Contributed to the literature linking community participation to policy shifts toward decentralized management.","None","Researcher who co‑authored work on community participation in forest governance.","community demands for a greater say in natural resource governance and recognition by many decision‑makers that communities have the capacity to manage resources sustainably (e.g. ... Gautam and Shivakoti, 2004;..."
"Shivakoti","Individual","Co‑authored studies supporting the role of community agency in forest management reforms.","None","Researcher who co‑authored work on community participation in forest governance.","community demands for a greater say in natural resource governance and recognition by many decision‑makers that communities have the capacity to manage resources sustainably (e.g. ... Gautam and Shivakoti, 2004;..."
"Ghate","Individual","Provided empirical evidence of CBF’s evolution and effectiveness.","None","Researcher who examined collaborative community‑based forestry regimes.","community demands for a greater say in natural resource governance and recognition by many decision‑makers that communities have the capacity to manage resources sustainably (e.g. ... Ghate, Ghate and Ostrom, 2013)."
"Commission on Sustainable Development (CSD)","Organization","Endorsed the role of local communities and indigenous peoples in sustainable forest management and initiated the Intergovernmental Panel on Forests.","International","A United Nations commission that coordinates sustainable development policies.","Following the United Nations Conference on the Environment and Development in 1992, the Commission on Sustainable Development (CSD) endorsed the role of local communities, indigenous peoples and other stakeholders in pursuing SFM."
"Intergovernmental Panel on Forests (IPF)","Organization","Sought a global consensus for action supportive of participatory and sustainable forest management and served as a conduit for community‑based forestry inputs.","International","A UN‑mandated intergovernmental panel created to build global consensus on participatory and sustainable forest management.","CSD initiated the Intergovernmental Panel on Forests (IPF) in 1995 to seek a global consensus for action supportive of participatory and sustainable forest management."
"IUCN Working Group on Community Involvement in Forest Management","Organization","Generated regional reports (Southeast Asia, South Asia, MesoAmerica, Western Europe, Canada/USA) used to advocate for community‑based forestry in international fora.","International","A specialised working group within IUCN focused on promoting community participation in forest governance.","Commencing in 1996, the International Union for Conservation of Nature (IUCN) established a Working Group on Community Involvement in Forest Management and produced a series of five regional reports..."
"Intergovernmental Forum on Forests (IFF)","Organization","Provided a platform for channeling lessons from community‑based forestry into global policy discussions.","International","Successor body to the IPF that continued UN‑wide forest policy dialogue.","...used between 1996 and 2000 to advocate for CBF in international discussions on forests through input to IPF and its successor, the Intergovernmental Forum on Forests (IFF)."
"United Nations Forum on Forests (UNFF)","Organization","Incorporated IPF/IFF proposals on community‑based forest management into its Multi‑Year Programme of Work (2007‑2015).","International","A UN intergovernmental forum that coordinates forest policy and programmes worldwide.","The successor to IPF and IFF, the United Nations Forum on Forests (UNFF), incorporated the IPF/IFF Proposals for Action into its Multi-Year Programme of Work."
"Forest Carbon Partnership Facility","Organization","Facilitates buying and selling of forest carbon credits and supplies funding to countries to build capacity for REDD+ and other carbon‑focused initiatives.","International","A World Bank‑run facility that acts as a broker for forest‑related carbon offsets and provides project financing.","The facility is designed to act as a broker between buyers and sellers of forest-related carbon offsets and will also provide funding to countries to build their capacity to develop projects."
"Forest Stewardship Council (FSC)","Organization","Provides group forest‑management certification for community forests, enabling market access and price premiums for sustainably produced timber and non‑wood products.","International","International, multi‑stakeholder certification system for responsibly managed forests.","By 2010, 4.2 million hectares of community forests worldwide were certified by the Forest Stewardship Council (FSC)."
"Programme for the Endorsement of Forest Certification (PEFC)","Organization","Offers group certification and has launched an online system to help small and medium‑sized private forest owners obtain certification at low cost.","International","International umbrella organisation that endorses national forest‑certification systems, with a focus on small‑holder and community forests.","The Programme for the Endorsement of Forest Certification (PEFC) was founded in 1999... It has recently launched an online forest certification system in the United Kingdom to help small and medium-sized private forest owners obtain PEFC certification simply and at low cost."
"European Union (EU)","Government","Adopted the Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan and negotiates Voluntary Partnership Agreements to ensure legally sourced timber.","Europe","Political and economic union of European member states.","Concerns about the impact of illegal logging and associated trade led the European Union (EU) to adopt the Forest Law Enforcement, Governance and Trade (FLEGT) Action Plan in 2003."
"International Land Coalition (ILC)","Coalition","Reported on the scale of large‑scale timber concessions and highlighted the risks they pose to community‑managed forests.","International","A global coalition of NGOs and social movements working to secure land rights for poor peoples.","ILC (2011) reported that the area of land allocated to large-scale timber concessions is much larger than the forest land under community ownership or administration in many parts of Africa and Asia."
"Oxfam","NGO","Co‑estimated that more than 200 million hectares had been bought or leased by agribusinesses since 2001, drawing attention to large‑scale land acquisitions.","International","International confederation of charitable organizations focused on alleviating poverty and injustice.","RRI (2012c) reported that in 2011, Oxfam and the International Land Coalition (ILC) estimated that more than 200 million hectares had been bought or leased by agribusinesses since 2001."
"CIFOR","Organization","Keeps community‑based forestry high on its agenda, uses convening power to raise awareness and inform policy dialogues.","International","Center for International Forestry Research, a global research partnership dedicated to forest‑related issues.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"ITTO","Organization","Keeps community‑based forestry on its agenda and facilitates knowledge exchange among members.","International","International Tropical Timber Organization, an intergovernmental body promoting sustainable management of tropical forests.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"RECOFTC","Organization","Promotes community‑based forestry within its programme portfolio and supports stakeholder dialogue.","International","Center for People and Forests, an intergovernmental organization supporting forest‑related research and policy.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"CATIE","Organization","Supports research and capacity‑building for community‑based forest management across the Americas.","Costa Rica","Tropical Agricultural Research and Higher Education Center, a regional research and education institution based in Costa Rica.","many international organizations, such as CIFOR, FAO, ITTO, RECOFTC and the Tropical Agricultural Research and Higher Education Center (CATIE), have kept CBF high on their agendas."
"IFRI","Organization","Announced the creation of the FLARE network to advance knowledge on forest‑based livelihoods.","United Kingdom","Institute of Forest Research, a UK‑based research institute focusing on forest policy and practice.","In early 2015 IFRI announced the establishment of the Forests and Livelihoods: Assessment, Research and Engagement (FLARE) network..."
"FLARE network","Network","Facilitates knowledge exchange, methodological development, and monitoring improvements for forest‑dependent livelihood interventions worldwide.","International","A community of practice that brings together stakeholders to share and develop knowledge on forest‑based livelihoods.","FLARE network, a community of practice with the aim of advancing the state of knowledge regarding forest-based livelihoods."
"United Nations","Organization","Adopted the 2030 Agenda and the Sustainable Development Goals, providing a policy framework that highlights the role of community‑based forestry in achieving SDG 15.2.","International","The global intergovernmental organization comprising 193 member states.","In September 2015 the United Nations adopted a set of 17 Sustainable Development Goals (SDGs) which provide an overarching policy framework to guide the world's development agenda until 2030."
"United States of America","Government","Amended the Lacey Act of 1900 to prohibit the import of illegally harvested timber, influencing global timber trade standards.","United States","Federal government of the United States.","For example, the United States of America has added provisions to the Lacey Act of 1900 (which regulates trade in wildlife, fish and plants) to ban commerce in illegally sourced timber and wood products."
"UNFF","Organization","Recognized the importance of collective action by indigenous and local communities in advancing sustainable forest management, thereby promoting community‑based approaches to forest stewardship.","None","United Nations Forum on Forests, an intergovernmental policy forum on forest issues.","UNFF (2015) recognized the importance of collective action by indigenous and local communities in advancing sustainable forest management."
"Collaborative Partnership on Forests (CPF)","Coalition","Called for governments worldwide to increase the role of communities in forest management, advocating for community‑based forestry as a core element of sustainable production.","None","A global partnership of forest‑related organizations and governments that works to promote sustainable forest management.","Collaborative Partnership on Forests (CPF, 2011) called for governments across the globe to increase the role of communities in forest management."
"Center for International Forestry Research (CIFOR)","Organization","Included ""Improving livelihoods through smallholder and community forestry"" in its 2008‑2018 strategic plan, directing research toward community‑based forest enterprises that respect nature’s regenerative capacity.","None","An international research institute focused on forest science and policy.","Center for International Forestry Research (CIFOR, 2008) has included "Improving livelihoods through smallholder and community forestry" as one of the six research domains in its 2008−2018 strategic plan."
"International Tropical Timber Organization (ITTO)","Organization","Integrated Community Forest Management and Enterprises into its thematic programmes, supporting community‑led forest use and regeneration.","None","A specialized intergovernmental organization that promotes the sustainable management of tropical forests.","International Tropical Timber Organization (ITTO, 2014) has included Community Forest Management and Enterprises as one of its five thematic programmes."
"Conference of the Parties of the Convention on Biological Diversity (COP of CBD)","Organization","Adopted a target to respect and fully integrate traditional knowledge and practices of indigenous and local communities into biodiversity use, thereby embedding community‑based stewardship in global policy.","None","The decision‑making body of the Convention on Biological Diversity, comprising parties to the treaty.","Conference of the Parties of the Convention on Biological Diversity has adopted a target under one of the five goals of its 2011−2020 strategic plan involving respecting and fully integrating traditional knowledge and practices of indigenous and local communities related to sustainable use of biodiv..."
