Title,Year,Type,Actors,Supporting_Text
"1994 IUCN Protected Area Management Categories",1994,"Guideline","International Union for Conservation of Nature (IUCN)","124 adopted since the 1994 guidelines were published."
"Programme of Work on Protected Areas",2004,"Programme","Convention on Biological Diversity (CBD)","early in 2004, the Convention on Biological Diversity (CBD) adopted a Programme of Work on Protected Areas, which endorses the categories system and supports the Speaking a Common Language project"
"Conservation of Arctic Flora and Fauna (CAFF) Circumpolar Protected Areas Network (CPAN) Strategy and Action Plan 1996",1996,"Other","Conservation of Arctic Flora and Fauna (CAFF)","The Conservation of Arctic Flora and Fauna (CAFF) Circumpolar Protected Areas Network (CPAN) Strategy and Action Plan 1996 specifically mentions the IUCN categories (Level 1)"
"Revised African Convention on the Conservation of Nature and Natural Resources",2003,"Treaty","African Union (African Convention)","the Revised African Convention on the Conservation of Nature and Natural Resources 2003 [see Box 2 below] uses the IUCN categories (Level 1)"
"Environment Protection and Biodiversity Conservation Act",1999,"Law","Australia","Australia (Environment Protection and Biodiversity Conservation Act 1999)"
"Law No. 9.985 establishing the National System of Protected Areas Management",2000,"Law","Brazil","Brazil (Law No. 9.985 establishing the National System of Protected Areas Management 2000)"
"Protected Areas Law",1998,"Law","Bulgaria","Bulgaria (Protected Areas Law 1998)"
"Law on Environmental Protection and Natural Resource Management",1996,"Law","Cambodia","Cambodia (Law on Environmental Protection and Natural Resource Management 1996 and Proposed Legislation)"
"Decree Law 201 National System of Protected Areas",1999,"Law","Cuba","Cuba (Decree Law 201 National System of Protected Areas 1999)"
"Law on the System of Protected Territories",1996,"Law","Georgia","Georgia (Law on the System of Protected Territories 1996)"
"Act No. LIII. of 1996 on Nature Conservation in Hungary",1996,"Law","Hungary","Hungary (Act No. LIII. of 1996 on Nature Conservation in Hungary 1996)"
"Protected Area Law",1999,"Law","Kuwait","Kuwait (Protected Area Law 1999)"
"General Ecology Law",1996,"Law","Mexico","Mexico (General Ecology Law 1996)"
"Fixant le régime de la chasse et de la protection de la faune",1998,"Law","Niger","Niger (Fixant le régime de la chasse et de la protection de la faune 1998"
"Portant loi-cadre relative a la protection de l'environnement",1998,"Law","Niger","Portant loi-cadre relative a la protection de l'environnement 1998"
"Nature Conservation Law",1999,"Law","Slovenia","Slovenia (Nature Conservation Law 1999)"
"Draft National System of Protected Areas (Law No. 17234)",2000,"Law","Uruguay","Uruguay (Draft National System of Protected Areas (Law No. 17234) 2000)"
"Regulation of Special Use Forests, Protection Forests and Production Forests, which are Natural Forests (Decision No 08/2001/QD‑TTg)",2001,"Decision","Vietnam","Vietnam (Regulation of Special Use Forests, Protection Forests and Production Forests, which are Natural Forests (Decision No 08/2001/QD‑TTg of January 11 2001)"
"IUCN System of Protected Area Management Categories",1996,"Publication","International Union for Conservation of Nature (IUCN)","the IUCN System of Protected Area Management Categories(Bridgewater et al. 1996)"
"CBD Programme of Work on Protected Areas",None,"Programme","Convention on Biological Diversity (CBD)","the need ... formally reflected in the CBD Programme of Work on Protected Areas, which speaks of 'the value of a single international classification system for protected areas'"
"Convention on Biological Diversity",1992,"Treaty","","Box 1. The Convention on Biological Diversity 1992 (Level 1)."
"Programme of Work on Protected Areas (Decision VII/28)",2004,"Programme","Conference of the Parties to the Convention on Biological Diversity (CBD/CoP7), IUCN World Commission on Protected Areas (IUCN WCPA)","the 7th Conference of the Parties to the Convention on Biological Diversity (CBD/CoP7), meeting in Kuala Lumpur, Malaysia in February 2004, adopted a Programme of Work on Protected Areas (Decision VII/28) that contains an important paragraph..."
"African Convention on the Conservation of Nature and Natural Resources",2003,"Treaty","Interagency Taskforce, African governmental experts","Box 2. The revised African Convention on the Conservation of Nature and Natural Resources 2003 (Level 1)."
"IUCN Guidelines for Protected Area Management Categories",1994,"Guideline","International Union for Conservation of Nature (IUCN)","the definitions and management objectives of these categories are contained in Annex 2 to this Convention and these are virtually the same as the 1994 IUCN guidelines for protected area management categories."
