Name,Type,Role,Country,Description,Supporting_Text
"United Nations (UN)","Organization","Target of global environmental campaigns seeking policy influence on ecological issues.","International","International intergovernmental organization created in 1945 to provide a forum for global cooperation. International intergovernmental organization overseeing global environmental governance. Interna...","Greenpeace, FoE and WWF were at the forefront of many of these campaigns, aimed at influencing national governments and global institutions such as the UN."
"Sir Julian Huxley","Individual","Publicised habitat destruction in East Africa through newspaper articles, raising awareness of wildlife extinction risks.","United Kingdom","British biologist and first Director‑General of UNESCO, influential in early wildlife conservation advocacy.","British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"UN Educational, Scientific and Cultural Organization (UNESCO)","Organization","Employed Sir Julian Huxley as its first Director‑General, linking scientific expertise to global conservation efforts.","International","UN specialized agency promoting education, science and culture worldwide.","British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"Max Nicholson","Individual","Mobilised scientists and communications experts to establish the international conservation organisation WWF.","United Kingdom","British conservationist and Director General of Britain's Nature Conservancy.","Max Nicholson (1904-2003), Director General of Britain's Nature Conservancy, gathered together a group of scientists and advertising and public relations experts, all committed to establishing an international organisation that became known as WWF."
"Britain's Nature Conservancy","Government","Provided leadership and resources that enabled the creation of WWF as an international conservation body.","United Kingdom","UK government agency responsible for nature conservation and wildlife protection.","Max Nicholson (1904-2003), Director General of Britain's Nature Conservancy, gathered together a group of scientists and advertising and public relations experts, all committed to establishing an international organisation that became known as WWF."
"Don't Make a Wave Committee","Organization","Organised the chartering of the ship named Greenpeace to protest US nuclear testing at Amchitka Island.","Canada","Early anti‑nuclear activist group formed in Vancouver, Canada, precursor to Greenpeace.","The group called themselves the Don't Make a Wave Committee (est. 1970), and decided the best way they could stop the nuclear tests was to charter a ship to sail from Vancouver into the test zone."
"Save the Whale","Other","Serves as a focal campaign to mobilise groups around whale protection and raise public awareness.","None","A signature campaign used by many environmental groups since the 1970s.","Since the 1970s, Save the Whale has been a signature campaign for many groups."
"US government","Government","Lobbied internationally, contributing to the International Whaling Commission’s decision to ban commercial whaling.","United States","Federal authorities of the United States of America.","Following lobbying by the US government among others, the International Whaling Commission finally took the decision to ban commercial whaling in 1982"
"French Intelligence Agency","Government","Planted a limpet mine on the Greenpeace vessel Rainbow Warrior to prevent protests against French nuclear testing.","France","France’s intelligence service that carried out covert operations abroad.","Later it emerged that the mine had been planted by the French Intelligence Agency to prevent Greenpeace from protesting against French nuclear testing in Moruroa Atoll."
"French government","Government","Perceived Greenpeace’s anti‑nuclear campaigns as a threat to national interests, leading to covert sabotage of the organization’s vessel.","France","National authorities of France.","demonstrated the extent to which the French government perceived Greenpeace campaigns as damaging to national interests."
"Friends of the Earth International (FoE International)","NGO","Coordinated international campaigns on developing‑world issues such as tropical‑forest protection and linked environmental concerns with human‑rights and development agendas.","None","A global confederation of environmental groups, originally comprising 31 member organisations.","In 1986 FoE International had a confederation of thirty-one member groups, many of which existed and campaigned in their own right before becoming affiliated to the global network."
"US environmental justice movement","Coalition","Mobilised communities against polluting projects and highlighted the intersection of environmental and civil‑rights struggles.","United States","Grassroots movement in the United States linking environmental concerns with racial and social justice.","The US environmental justice and the UK anti-roads movements emerged in response to planning decisions that appeared to give priority to private or government interests over community interests."
"UK anti‑roads movement","Coalition","Organised protests and alliances that challenged infrastructure plans perceived to favour private or governmental interests over local communities.","United Kingdom","British grassroots network opposing road‑building projects, drawing on countercultural and direct‑action traditions.","The US environmental justice and the UK anti-roads movements emerged in response to planning decisions that appeared to give priority to private or government interests over community interests."
"United Church of Christ's Commission for Racial Justice","Organization","Published the study “Toxic Wastes and Race” (1987) that exposed environmental racism and helped galvanize the U.S. environmental justice movement.","United States","Commission within the United Church of Christ that focuses on racial justice issues.","In 1987, the United Church of Christ's Commission for Racial Justice published Toxic Wastes and Race."
"Bill Clinton","Individual","Signed a 1994 Executive Order reinforcing civil rights and environmental laws and requiring federal agencies to consider environmental justice in their work.","United States","42nd President of the United States (1993‑2001).","In 1994, President Bill Clinton recognised the importance of this issue when he signed an Executive Order reinforcing civil rights and environmental laws and requiring federal regulatory agencies to consider environmental justice in all their work."
"Global Witness","NGO","Works on the intersection of resource exploitation, human rights and environmental justice.","United Kingdom","International investigative NGO that exposes links between natural‑resource trade, human‑rights abuses, corruption and conflict.","So too are specialist groups such as Global Witness (est. 1993), which tackles the links between trade in natural resources, human rights abuses, corruption and conflict."
"Margaret Thatcher","Individual","Delivered a speech on climate change at the United Nations, signalling high‑level political attention to environmental matters.","United Kingdom","Conservative Prime Minister of the United Kingdom (1979‑1990).","the Conservative Prime Minister Margaret Thatcher gave a speech on climate change at the UN."
"British Government","Government","Published the 1990 White Paper “This Common Inheritance”, the first UK-wide environmental policy document.","United Kingdom","Central government of the United Kingdom. The United Kingdom's central government.","A year later, the British Government published This Common Inheritance (1990), the first ever White Paper on the environment."
"Conservative government (UK)","Government","Proposed the large‑scale road‑building programme “Roads for Prosperity” (1989), which triggered extensive environmental opposition.","United Kingdom","UK government led by the Conservative Party during the late 1980s and early 1990s.","A less welcome development for environmentalists was the Conservative government's plans for the 'largest road-building programme in the UK since the Romans', set out in the 1989 transport White Paper Roads for Prosperity (1989)."
"Department for Transport","Government","Targeted in legal action by Friends of the Earth, Greenpeace and other groups over road‑building projects.","United Kingdom","UK government department responsible for transport policy and infrastructure.","During this campaign, FoE, Greenpeace and other environmental groups took the Department for Transport to the UK High Court"
"UK High Court","Other","Served as the judicial venue for environmental groups' lawsuit against the Department for Transport.","United Kingdom","Senior court of England and Wales.","During this campaign, FoE, Greenpeace and other environmental groups took the Department for Transport to the UK High Court"
"Labour Government (UK)","Government","Cancelled the large road‑building programme originally launched by the Conservative government.","United Kingdom","UK government formed by the Labour Party after the 1997 general election.","the Conservative government's road-building programme was scaled down over time and eventually cancelled in 1997 by the incoming Labour Government."
"CPRE (Campaign to Protect Rural England)","Organization","Co‑founded the Transport Reform Group to lobby against further road building.","United Kingdom","UK charity campaigning for the protection and improvement of the English countryside.","Other groups, including CPRE, formed the Transport Reform Group and lobbied against further road building"
"Transport Reform Group","Coalition","Lobbied against the Conservative government's road‑building plans and promoted alternative transport solutions.","United Kingdom","Coalition of organisations advocating for sustainable transport policies in the United Kingdom.","Other groups, including CPRE, formed the Transport Reform Group and lobbied against further road building"
"Earth First!","NGO","Participated in non‑violent direct‑action road protest camps in the UK, helping to broaden the public image of modern environmentalism.","United States","Radical environmental activist organization that originated in the United States.","Newly established non-violent direct action groups such as Earth First! (a US import) and Reclaim the Streets organised, or were present at, many road protest camps."
"Buy Nothing Day","Organization","Serves as a symbolic initiative within the broader anti‑establishment movement that links consumer behavior to environmental concerns.","United States","An anti‑consumerist campaign launched in the United States in 1992 that embodied countercultural ideals.","The anti-consumerist Buy Nothing Day, first launched in the USA in 1992, encapsulated the ideals of this countercultural movement."
"International Monetary Fund (IMF)","Organization","Target of protest campaigns that link trade and financial policies to environmental and development impacts.","International","A global financial institution that sets economic policies for member countries. International financial institution that provides loans and policy advice to member countries.","This campaign brought together campaigners from trade justice, development and environment communities to protest against the policies of the International Monetary Fund (IMF), World Bank and World Trade Organization (WTO)."
"World Trade Organization (WTO)","Organization","Subject of activist opposition due to perceived conflicts between trade rules and environmental standards.","International","An intergovernmental organization that regulates international trade. An international organization that adjudicates trade disputes between nations.","This campaign brought together campaigners from trade justice, development and environment communities to protest against the policies of the International Monetary Fund (IMF), World Bank and World Trade Organization (WTO)."
"G8","Government","Summit venues that became focal points for coordinated global street protests linking trade, economic policy and environmental concerns.","International","A forum of the world's major industrialised economies that meets annually to discuss global policy.","In 1998, veterans of the anti‑roads movement and Reclaim the Streets participated in the Global Street Party that coincided with the twentyfourth G8 summit in Birmingham in the UK."
"Independent Media Centre","Organization","Provided a digital hub for sharing information about WTO protests, amplifying environmental and social justice messages worldwide.","United States","A volunteer‑run platform that aggregates and disseminates activist‑generated news and reports.","When activists established an independent media centre for anyone to upload news and reports from the 1989 WTO Seattle protests, the website received over a million hits over a couple of days."
"World Social Forum","Coalition","Serves as a recurring venue for environmental and social movements to coordinate and develop networks that promote harmony with nature.","International","An annual gathering of civil society groups that discusses alternatives to neoliberal globalization.","These networks continue to develop through a number of avenues such as the World Social Forum, which has met on a regular basis since 2001."
"Greenpeace International","NGO","Provides financial independence and scale for campaigning against high‑profile global corporations.","None","The international umbrella of Greenpeace with a large membership base.","Greenpeace International has approximately 3 million members, giving it the financial independence to be able to campaign against high-profile global corporations."
"Friends of the Earth International","NGO","Mobilises a broad base of members and supporters for environmental campaigning.","None","An international network of environmental groups with a large membership.","FoE International claims over 2 million members and supporters"
"Royal Society for the Protection of Birds","NGO","Participates in joint campaigns to demonstrate the size of the environmental constituency.","United Kingdom","A major UK bird‑conservation charity.","followed by the RSPB."
