Title,Year,Type,Actors,Supporting_Text
"The State of Macro",2008,"Paper","Olivier Blanchard","In a 2008 paper titled "The State of Macro" Olivier Blanchard, who later was the chief economist at the IMF, declared that "the state of macro is good" and that there was a "broad convergence of vision"."
"Maestro",None,"Book","Bob Woodward","When Bob Woodward, famous journalist of Watergate repute, wrote a biography about Alan Greenspan his book was titled Maestro."
"The Affluent Society",None,"Book","John Kenneth Galbraith","Influential was the Affluent Society by John Kenneth Galbraith, which addressed the inequality of "private wealth and public squalor" and the inadequacy of GDP as a measure of welfare."
"Silent Spring",None,"Book","","In the 1960s publications such as Silent Spring, The Tragedy of the Commons and The Population Bomb brought environmental problems and the dangers of population growth to a wider audience."
"The Tragedy of the Commons",None,"Book","","In the 1960s publications such as Silent Spring, The Tragedy of the Commons and The Population Bomb brought environmental problems and the dangers of population growth to a wider audience."
"The Population Bomb",None,"Book","","In the 1960s publications such as Silent Spring, The Tragedy of the Commons and The Population Bomb brought environmental problems and the dangers of population growth to a wider audience."
"Brundtland Report",None,"Report","","By the end of the 1980s a new concept which linked economic, environmental and social issues emerged. The term "sustainable development", which was popularised by the Brundtland Report, has become ubiquitous ever since."
"How Did Economists Get It So Wrong?",None,"Other","Paul Krugman","in his op-ed "How Did Economists Get It So Wrong?""
"The Globalisation Paradox",None,"Book","Dani Rodrik","Dani Rodrik, in The Globalisation Paradox, shows that although..."
"The Rise and Fall of American Growth",None,"Book","Robert Gordon","Economists such as Robert Gordon in his book The Rise and Fall of American Growth argue that..."
"Stiglitz Report",None,"Report","Nicolas Sarkozy","Nicolas Sarkozy was interviewed about the Stiglitz Report and addressed the lack of faith in statistics."
"Billion Prices Project",None,"Programme","MIT","the "billion prices project" of MIT collects data from websites using webcrawlers to calculate daily inflation rates for many countries."
"Transatlantic Trade and Investment Partnership",None,"Treaty","","popular protest against the Transatlantic Trade and Investment Partnership (TTIP) and other free trade agreements shows that society's trust..."
"Trans-Pacific Partnership",None,"Treaty","Donald Trump","He withdrew from the Trans-Pacific Partnership (TPP) soon after he was elected"
"System of National Accounts (SNA)",None,"Standard","United Nations, Richard Stone","There is a really important component of this history: the System of National Accounts (SNA)."
"Report of the Subcommittee (1947)",1947,"Report","Richard Stone, Committee of Statistical Experts of the League of Nations, Subcommittee members","The subcommittee produced a report two years later which can be seen as the start of the harmonisation process of the system of national accounts. The 1947 report still has many accounting features which have endured to the present day."
"OEEC Handbook on National Income Accounting (1951)",1951,"Handbook","OEEC, Richard Stone","He led the work on two OEEC handbooks on national income accounting (1951 and 1952) which were used in the administration of the Marshall Plan."
"OEEC Handbook on National Income Accounting (1952)",1952,"Handbook","OEEC, Richard Stone","He led the work on two OEEC handbooks on national income accounting (1951 and 1952) which were used in the administration of the Marshall Plan."
"UN Handbook of National Accounts (1953)",1953,"Handbook","United Nations, Richard Stone","Then, in 1953, Stone was the principal author of the first ever UN handbook, which is considered the first "official" SNA."
"SNA Handbook (1968)",1968,"Handbook","United Nations","The SNA handbook was subsequently updated in 1968, 1993 and 2008."
"SNA Handbook (1993)",1993,"Handbook","United Nations, International statistical institutes","The SNA handbook was subsequently updated in 1968, 1993 and 2008."
"SNA Handbook (2008)",2008,"Handbook","United Nations","The SNA handbook was subsequently updated in 1968, 1993 and 2008."
"Material Product System (MPS)",None,"Standard","United Nations, centrally planned communist countries","Even within the UN there was an alternative accounting framework, the Material Product System (MPS), which was used in over a dozen centrally planned communist countries."
"1934 report to Congress",1934,"Report","Simon Kuznets","After the 1934 report to Congress and his work in the war, Kuznets started to grow increasingly uncomfortable about the direction of national accounts."
"System of National Accounts",None,"Standard","macroeconomists","Thirdly, macroeconomists have agreed on a formal macroeconomic language: the System of National Accounts."
"Compendium of Sustainable Development Indicator Initiatives",2011,"Database","","The biggest database, the Compendium of Sustainable Development Indicator Initiatives, listed around 900 initiatives all around the world but not all of these are at the national level."
"wikiprogress.org",None,"Online repository","OECD","The largest active repository of Beyond-GDP initiatives is wikiprogress.org, which is an OECD initiative that provides information about well‑being and sustainability projects from around the world."
"World Happiness Database",None,"Database","","For SWB two sources have been used (World Happiness Database and the European/World Values Survey)."
"European/World Values Survey",None,"Survey","","For SWB two sources have been used (World Happiness Database and the European/World Values Survey)."
"System of Environmental and Economic Accounts (SEEA)",None,"Accounting framework","United Nations Statistics Division","For the SEEA, estimates by Edens (2013) are used as well as responses to the Global Assessment of Environmental‑Economic Accounting which is carried out by the United Nations Statistics Division."
"Sustainable Development Indicators (SDI)",None,"Indicator set","","Figure 4.1 provides a partial view of the development of three areas of Beyond‑GDP: namely Subjective Well‑being (SWB), the System of Environmental and Economics Accounts (SEEA) and Sustainable Development Indicators (SDI)."
"Human Development Index (HDI)",None,"Index","","For example, the Human Development Index (HDI) is available for 188 countries at data.un.org."
"Ecological Footprint",None,"Indicator","Global Footprint Network","the ecological footprint is calculated for 186 countries by the Global Footprint Network"
"Sustainable Society Index",None,"Index","","the Sustainable Society Index has data for 154 countries."
"Gallup polls on Subjective Well‑being (SWB)",None,"Survey","Gallup","the most recent Gallup polls on SWB cover around 140 countries."
"Global Assessment of Environmental‑Economic Accounting",None,"Assessment","United Nations Statistics Division","responses to the Global Assessment of Environmental‑Economic Accounting which is carried out by the United Nations Statistics Division."
"Affluent Society",1958,"Book","John Kenneth Galbraith","Affluent Society, by Harvard economist John Kenneth Galbraith, added an influential critique in 1958."
"Silent Spring",None,"Book","","Also publications like the Tragedy of the Commons and bestsellers such as Silent Spring and Population Bomb communicated the dangers of environmental degradation and population growth to a wider audience."
"Population Bomb",None,"Book","","Also publications like the Tragedy of the Commons and bestsellers such as Silent Spring and Population Bomb communicated the dangers of environmental degradation and population growth to a wider audience."
"Tragedy of the Commons",None,"Book","","Also publications like the Tragedy of the Commons and bestsellers such as Silent Spring and Population Bomb communicated the dangers of environmental degradation and population growth to a wider audience."
"Limits to Growth",1972,"Report","Club of Rome","1972 was also the year that the seminal Limits to Growth report of the Club of Rome was published."
"Our Common Future",1987,"Report","United Nations World Commission on Environment and Development (WCED)","The real game-changer in Beyond-GDP measurement was the seminal publication by the United Nations World Commission on Environment and Development (WCED) in 1987. The commission's report, Our Common Future, is often referred to as the "Brundtland Report"."
"Agenda 21",1992,"Programme","United Nations Conference on Environment and Development (Rio Earth Summit)","At this conference, Agenda 21 was adopted which included a recommendation for countries to monitor their progress towards sustainable development."
"Measuring Well‑being and Societal Progress",2004,"Programme","OECD","The OECD started convening the World Forum's "measuring well-being and societal progress" once every 2-4 years from 2004."
"Better Life Initiative/Index",2011,"Programme","OECD","The OECD also launched the Better Life Initiative/Index at the fifty-year anniversary of the institute in 2011."
"Sustainable Development Indicators",2005,"Programme","Eurostat","Eurostat (the statistical office of the European Union) started work on Sustainable Development Indicators in 2005."
"e-Frame",None,"Other","European Commission","The European Commission held a large-scale conference on "Beyond-GDP: Measuring progress, true wealth, and the well‑being of nations" in 2007 and funded projects such as e-Frame and BRAINPOoL (Bringing Alternative Indicators into Policy)."
"BRAINPOoL (Bringing Alternative Indicators into Policy)",None,"Other","European Commission","The European Commission held a large-scale conference on "Beyond-GDP: Measuring progress, true wealth, and the well‑being of nations" in 2007 and funded projects such as e-Frame and BRAINPOoL (Bringing Alternative Indicators into Policy)."
"Wealth of Nations (World Bank report)",2006,"Report","World Bank","The World Bank published the "Wealth of Nations" reports in 2006, 2011 and 2018."
"Wealth of Nations (World Bank report)",2011,"Report","World Bank","The World Bank published the "Wealth of Nations" reports in 2006, 2011 and 2018."
"Wealth of Nations (World Bank report)",2018,"Report","World Bank","The World Bank published the "Wealth of Nations" reports in 2006, 2011 and 2018."
"Stiglitz Report",2009,"Report","Commission on the Measurement of Economic Performance and Social Progress (CMEPSP)","In 2009, Nicolas Sarkozy, President of France, set up the Commission on the Measurement of Economic Performance and Social Progress. This report, which was produced by the CMEPSP, is commonly referred to as the Stiglitz Report."
"Human Development Report",None,"Report","","There are also other initiatives such as the Human Development Report, The World Happiness Report, The Global Sustainable Development Report and the Inclusive Wealth Report..."
"World Happiness Report",None,"Report","","There are also other initiatives such as the Human Development Report, The World Happiness Report, The Global Sustainable Development Report and the Inclusive Wealth Report..."
"Global Sustainable Development Report",None,"Report","","There are also other initiatives such as the Human Development Report, The World Happiness Report, The Global Sustainable Development Report and the Inclusive Wealth Report..."
"Inclusive Wealth Report",None,"Report","","There are also other initiatives such as the Human Development Report, The World Happiness Report, The Global Sustainable Development Report and the Inclusive Wealth Report..."
"Capital in the Twenty‑First Century",None,"Book","Thomas Piketty","Thomas Piketty's book on inequality (Capital in the Twenty‑First Century), which has had a significant impact on the Beyond‑GDP debate."
"OECD Guidelines on Measuring Subjective Well‑being",2013,"Guideline","OECD","The OECD's Guidelines on Measuring Subjective Well‑being was published in 2013."
"Sustainable Development Goals",2012,"Declaration","United Nations","The main legacy of that conference is that the Sustainable Development Goals were conceived at that conference."
"Eurobarometer survey",1973,"Other","European Union","From 1973, SWB questions started to be asked in the European Union's Eurobarometer survey."
"European Value Survey",1981,"Other","academic groups","From 1981, academic groups started to work on the European Value Survey and World Value Survey in order to compare various SWB and other attitudes over multiple countries."
"World Value Survey",1981,"Other","academic groups","From 1981, academic groups started to work on the European Value Survey and World Value Survey in order to compare various SWB and other attitudes over multiple countries."
"Gallup World Poll",2005,"Other","Gallup","The Gallup World Poll started in 2005 with 26 countries and had expanded to around 140 countries by 2018."
"OECD guidelines",None,"Guideline","OECD","the OECD guidelines argue that each of these perspectives on SWB provide important and complementary dimensions to well-being."
"Measure of Economic Welfare",1972,"Other","Nordhaus, Tobin","the Measure of Economic Welfare was created by Yale economists Nordhaus and Tobin."
"Index for Sustainable Economic Welfare (ISEW)",1989,"Other","Daly, Cobb","The MEW methodology inspired the Index for Sustainable Economic Welfare (ISEW), which was proposed in 1989 by Daly and Cobb."
"Genuine Progress Indicator (GPI)",None,"Other","","The ISEW later evolved into the Genuine Progress Indicator (GPI)."
"Sustainable National Income",1974,"Other","Roefie Hueting","A different, rather unique, approach was proposed in 1974 by Roefie Hueting: Sustainable National Income."
"Genuine Savings Indicator",1993,"Other","","Based on this capital theory, the genuine savings indicator was suggested in 1993."
"Adjusted Net Savings",None,"Other","World Bank","World Bank has adopted this approach and publishes "adjusted net savings" and "total (or comprehensive) wealth" indicators."
"Total (or Comprehensive) Wealth Indicator",None,"Other","World Bank","World Bank has adopted this approach and publishes "adjusted net savings" and "total (or comprehensive) wealth" indicators."
"Inclusive Wealth Index (IWI)",None,"Other","United Nations University, Partha Dasgupta","The United Nations University, under the leadership of Partha Dasgupta, proposed the Inclusive Wealth Index (IWI)."
"System of Environmental and Economic Accounts",None,"Other","","The System of Environmental and Economic Accounts, which will be discussed later on, also includes a couple of indexes which follow this theoretical approach."
"Life Situation Index (LSI)",None,"Indicator","Netherlands","in the early 1970s the Life Situation Index (LSI) was produced in the Netherlands."
"Human Development Index",1990,"Indicator","United Nations","the Human Development Index. In 1990, the United Nations' Human Development Report used HDI for the first time."
"Human Development Report",1990,"Report","United Nations","In 1990, the United Nations' Human Development Report used HDI for the first time."
"Competitiveness Index",None,"Indicator","World Economic Forum","Examples include the Competitiveness Index published by the World Economic Forum"
"Global Innovation Index",None,"Indicator","","and the Global Innovation Index."
"Sustainable Development Goals",None,"Goal","","Non-conceptual Indicator Sets (e.g., Sustainable Development Goals)"
"Gross National Happiness programme",None,"Programme","King of Bhutan","One of the earliest and most cited Beyond-GDP initiatives is the programme on Gross National Happiness which was initiated by the King of Bhutan in the early 1970s."
"Brundtland Report",1987,"Report","","The Brundtland Report in 1987 ... were instrumental in promoting Type 3 Sustainable Development Indicators (SDI)."
"Eurostat's Well‑being Report",None,"Report","Eurostat","For example, Eurostat's Well-being Report has a range of indicators ..."
"Wheel of Well‑being",None,"Programme","United Kingdom","... and the UK's Wheel of Well-being is another example of a Type 3 indicator set."
"Sustainable Development Goals",2015,"Declaration","Governments of the world","By far the most influential initiative is the Sustainable Development Goals, introduced in 2015. This was a worldwide process where the governments of the world agreed to define 17 goals and 169 targets for sustainable development."
"Millennium Development Goals",2000,"Declaration","","At that conference, it was decided that the Millennium Development Goals (MDGs), which ran from 2000 to 2015, would be replaced by the SDGs."
"WGSSD Report",2009,"Report","UNECE, OECD, Eurostat, European Commission","The WGSSD Report was published in 2009 and had a significant influence on the Stiglitz Report, which was also published in that same year."
"Stiglitz Report",2009,"Report","Stiglitz","The final report discusses monetary indicators for capital but also the advantages of providing a set of non-monetary indicators for these assets. The WGSSD Report was published in 2009 and had a significant influence on the Stiglitz Report, which was also published in that same year."
"Task Force on Measuring Sustainable Development (TFSD)",2009,"Other","UNECE, OECD, Eurostat","In 2009, just after the publication of the Stiglitz Report, the joint UNECE/OECD/Eurostat Task Force on Measuring Sustainable Development (TFSD) was created."
"CES Recommendations on Measuring Sustainable Development",None,"Recommendation","Conference of European Statisticians","The report was endorsed by the Conference of European Statisticians and the CES Recommendations on Measuring Sustainable Development have been adopted by a couple of countries so far."
"Better Life Index (BLI)",None,"Other","OECD","An influential indicator set is the Better Life Index (BLI), which was launched by the OECD at its fiftieth anniversary."
"System of Environmental and Economic Accounting (SEEA)",None,"Standard","","System of Environmental and Economic Accounting (SEEA)"
"System of Environmental Economic Accounting (SEEA) 1993",1993,"Standard","","The SEEA 1993 includes a green accounting indicator called the eco‑domestic product (EDP) which is obtained by subtracting environmental costs from the Net Domestic Product."
"System of Environmental Economic Accounting (SEEA) 2003",2003,"Standard","United Nations, six major international institutes","By the time the second edition (SEEA 2003) was published the other international institutes had joined the UN as co‑authors."
"System of Environmental Economic Accounting 2012 – Central Framework",2012,"Standard","Statistical Commission of the United Nations","After a lengthy deliberation process the System of Environmental Economic Accounting 2012 - Central Framework was adopted by the Statistical Commission of the United Nations."
"Brundtland Report",None,"Report","","During the process that led to the SNA 1993, the topic of environmental pressures and sustainable development were high on the agenda because of the Brundtland Report/Earth Summit."
"System of National Accounts 1993 (SNA 1993)",1993,"Standard","","During the process that led to the SNA 1993, the topic of environmental pressures and sustainable development were high on the agenda because of the Brundtland Report/Earth Summit."
"SEEA Handbook 1993",1993,"Guideline","","The harmonisation process for environmental accounts of the early 1990s led to the first handbook in 1993."
"SEEA 2003 Document",2003,"Other","","The SEEA 2003 had also grown to a 598‑page document."
"System of Environmental‑Economic Accounting (SEEA)",None,"Framework","","The SEEA is probably the most successful example in the Beyond‑GDP scene."
"Sustainable Development Goals (SDGs)",None,"Global Goals","","The SDG process also proved that international institutes can be very effective in fostering a global agreement."
"Motivational Interviewing (MI)",None,"Practice","","Motivational Interviewing (MI) is based on engaging addicts in a positive discussion of their goals, motives and futures."
