Name,Type,Role,Country,Description,Supporting_Text
"G7","Coalition","Organised on the basis of GDP ranking, the G7 reinforces the primacy of GDP in geopolitical and policy discussions.","International","Group of seven major advanced economies that coordinate economic policy.","Geopolitical bodies such as the G7 or G20 are organised on the basis of GDP ranking"
"G20","Coalition","Organised on the basis of GDP ranking, the G20 further entrenches GDP as the key metric for global economic governance.","International","Forum of 19 countries and the European Union that discusses and promotes international financial stability.","Geopolitical bodies such as the G7 or G20 are organised on the basis of GDP ranking"
"European Union","Government","Imposes legal requirements on member states to deliver data according to the System of National Accounts, sustaining the GDP‑centric statistical regime.","European Union","Supranational political and economic union of 27 European member states. Supranational political and economic union of European member states.","In some regions, such as the European Union, there are legal requirements for member states to deliver the data according to the handbook"
"Simon Kuznets","Individual","Provided early scholarly critique of GDP as a proxy for societal welfare, influencing the intellectual foundation of the Beyond‑GDP movement.","United States","American economist and Nobel laureate, pioneer of national income accounting. American economist who originally developed GDP and later criticized its limitations. American economist, pioneer of natio...","Simon Kuznets, one of the pioneers of national accounting, famously wrote in 1934 that "the welfare of a nation ... can scarcely be inferred from a measurement of national income"."
"World Wildlife Fund","NGO","Cited for its Living Planet Report, which frequently uses the ecological footprint as a Beyond‑GDP indicator, thereby promoting alternative metrics that value nature.","International","International non‑governmental organization focused on conservation and environmental research. International non‑governmental organization that promotes the use of the ecological footprint as a metri...","The ecological footprint is cited frequently, including in the Living Planet Report of the World Wildlife Fund."
"Paul Samuelson","Individual","Provides a historical endorsement of GDP as a major twentieth‑century invention, framing GDP as an innovation whose trajectory is being examined in the discussion of moving beyond GDP metrics.","United States","American economist, Nobel laureate (1970). Nobel Prize‑winning economist known for his contributions to macroeconomics and welfare economics.","In fact it was Nobel Prize winner Paul Samuelson who famously said: "While the GDP and the rest of the national income accounts may seem to be arcane concepts, they are truly among the great inventions of the twentieth century.""
"Joseph Schumpeter","Individual","Introduces the innovation‑cycle framework (early adoption, take‑off, saturation, decline) that underpins the argument that Beyond‑GDP could replace GDP through a process of creative destruction.","Austria","Austrian‑born economist renowned for his theory of economic development and the concept of creative destruction.","Joseph Schumpeter, one of the pillars of thinking on innovation, defined the stages that innovations go through: early adoption, take-off, saturation and decline."
"United Nations (UN)","Organization","Started collecting national accounts data in 1952, providing a global platform for GDP reporting.","International","An intergovernmental organization comprising all member states, responsible for adopting global policy frameworks such as the Sustainable Development Goals. An international intergovernmental organiza...","The second source is the United Nations, which started to collect national accounts data in 1952"
"Queen Elizabeth II","Individual","Publicly voiced mistrust toward economists after the 2008 crisis, highlighting societal criticism of GDP‑centric economic advice.","United Kingdom","The late monarch of the United Kingdom and the Commonwealth realms (reigned 1952–2022).","Perhaps the mistrust was best expressed by Queen Elizabeth II when she asked a group of economists "why did no one see it coming?""
"John Maynard Keynes","Individual","Authored the seminal national‑income identity (Y = C + I + G + X – M) that underpins the System of National Accounts, the technical basis for GDP measurement.","United Kingdom","British economist whose ideas fundamentally shaped modern macroeconomics and national income accounting. British economist, author of *The General Theory of Employment, Interest and Money* (1936). Inf...","The most famous example is John Maynard Keynes' famous formula for national income (Y) which is Y=C+I+G+X-M."
"WSS community","Coalition","Serves as the central collective that defines goals, structures a common language, and coordinates multidisciplinary efforts to replace GDP with well‑being and sustainability metrics.","None","A proposed institutionalised community focused on well‑being and sustainability research and policy development.","The WSS community's goal is to understand well‑being and sustainability and to create policies to enhance them."
"Intergovernmental Panel on Climate Change (IPCC)","Organization","Cited as a successful example of how an institutionalised scientific community can create a common language and influence society, serving as a model for building a similar community around well‑being and sustainability metrics.","None","An international scientific body established in the early 1990s to assess climate science and provide policy‑relevant information.","The Intergovernmental Panel on Climate Change (IPCC), which started in the early 1990s, has resulted in a coherent climate science community."
"William Petty","Individual","Pioneered early national income accounting, providing an early measure of economic activity.","United Kingdom","English economist who produced one of the first national income estimates in 1665.","the first national income estimates were published by William Petty in 1665"
"William King","Individual","Contributed to the early development of national income accounting.","United Kingdom","English scholar who produced a national income estimate in 1696 for the United Kingdom.","William King in 1696 for the United Kingdom"
"Studenski","Individual","Identified key factors (scholars, theory, data, crises, rivalry, institutionalisation) that drove the proliferation of GDP estimates.","None","Economic historian who analysed the development of national income accounting (Studenski 1958).","The earliest analysis of success factors was by Studenski (1958), who analysed the period 1665-1958."
"Herbert Hoover","Individual","His reluctance to intervene delayed the collection of macro‑economic statistics, influencing the timing of national income data collection.","United States","31st President of the United States (1929‑1933) with a laissez‑faire stance during the Great Depression.","The Republican President at the time, Herbert Hoover, who had been elected on a laissez-faire platform, had great faith in the economic system's ability to correct itself."
"John D. Rockefeller","Individual","His public remarks reflected the prevailing optimism that depressions would pass without government data‑driven intervention.","United States","American business magnate and philanthropist.","The famous business magnate John D. Rockefeller is reputed to have said during the Great Depression"
"Robert La Follette Jr.","Individual","Championed the introduction of national income and unemployment statistics in Congress, eventually securing Resolution 220.","United States","Progressive Republican Congressman from Wisconsin in the 1920s‑30s.","efforts of a progressive Republican congressman, Robert La Follette Jr., who throughout the 1920s had tried to convince his colleagues in Congress to start measuring the economy and unemployment"
"Wesley Mitchell","Individual","Led the NBER in building the empirical foundation that enabled Kuznets’s national‑income work.","United States","Economist and director of the National Bureau of Economic Research (NBER) in the 1930s‑40s.","Under the leadership of Wesley Mitchell a lot of empirical experience had been amassed by the institute"
"Wassily Leontief","Individual","Developed a model linking economic inputs to outputs, influencing the structure of the System of National Accounts.","United States","Russian‑American economist who pioneered input‑output analysis.","Wassily Leontief published his first paper on input-output economics"
"Jan Tinbergen","Individual","Created early econometric models for business‑cycle analysis, contributing to quantitative national‑account methods.","Netherlands","Dutch economist, first Nobel laureate in economics (1969).","Jan Tinbergen also published his first work"
"Ragnar Frisch","Individual","Advanced econometric techniques that underpinned modern national‑account statistics.","Norway","Norwegian economist, co‑recipient of the first Nobel Prize in economics (1969).","Tinbergen shared the first economics Nobel Prize with Ragnar Frisch in 1969"
"Robert Solow","Individual","His growth model reinforced GDP as the primary policy target after 1950.","United States","American economist, Nobel laureate (1987) known for the Solow‑Swan growth model.","Prominent economists such as Robert Solow and Paul Samuelson also thought that the instability in capitalist societies had come to an end"
"Gary Becker","Individual","Expanded the reach of economic thinking, reinforcing the idea that many aspects of wellbeing could be measured economically.","United States","American economist, Nobel laureate (1992) who applied economic analysis to non‑economic domains.","Gary Becker, Nobel Prize winner of 1992, who applied economic thinking to areas previously thought to be beyond the economic domain"
"Van Lennep","Individual","Publicly warned that major recessions would be the result of policy miscalculation, underscoring the importance of reliable national‑account data.","Netherlands","Secretary‑General of the OECD in the early 1970s (Dutch).","In 1970, Van Lennep, the Secretary-General of the OECD, reported that "A major recession would no longer be a deus ex machina...""
"National Bureau of Economic Research (NBER)","Organization","Promoted the use of statistics in economic decision‑making and employed Simon Kuznets for the 1934 national‑income report.","United States","American private, non‑profit research organization founded in 1920.","The National Bureau of Economic Research (NBER) had been founded in 1920 with the precise aim of promoting statistics in economic decision making"
"Department of Commerce (U.S.)","Government","Received Congressional Resolution 220 requesting national‑income statistics, highlighting the government's role in data collection.","United States","U.S. federal agency responsible for promoting economic growth.","Resolution 220 was a request to the Department of Commerce"
"War Production Board","Government","Engaged in a dispute with Kuznets over military‑spending limits, illustrating the tension between statisticians and military planners.","United States","U.S. agency created during World War II to coordinate war‑related production.","The episode forced the resignation of Kuznets and Nathan from the War Production Board"
"United States","Government","Adopted national‑income accounting early, commissioned the Kuznets report, and used GDP as a central policy metric throughout the 20th century.","United States","Federal government of the United States of America.","The report by Simon Kuznets on 4 January 1934... The United States had made use of science, government and statistics in a very effective way"
"United Kingdom","Government","One of the earliest adopters of national‑income estimation (Petty, King) and the home of Keynes, whose ideas cemented GDP’s policy relevance.","United Kingdom","National government of the United Kingdom.","the first national income estimates were published by William Petty in 1665 and William King in 1696 for the United Kingdom"
"France","Government","Early participant in national‑income measurement, contributing to the initial spread of GDP concepts across Europe.","France","National government of France.","On the opposite side of the English Channel the French also quickly took their first steps in national income measurement"
"Russia","Government","Early national‑income estimates in the 1790s, showing the geographic diffusion of GDP methodology.","Russia","Russian Empire (later Soviet Union).","After England and France came Russia (1790s)"
"Netherlands","Government","Produced its first national‑income estimate in 1798, part of the early European wave of accounting.","Netherlands","A European country that later introduced Type 4 indicator sets. European country whose government produced an early composite wellbeing indicator. National government of the Netherlands.","the Netherlands (1798)"
"Austria","Government","Adopted national‑income accounting in 1861, contributing to the mid‑19th‑century expansion of GDP measurement.","Austria","National government of Austria.","Austria (1861)"
"Germany","Government","Carried out national‑income estimates between 1863‑1899, further spreading the practice in Central Europe.","Germany","National government of Germany.","Germany (1863-1899)"
"Australia","Government","Implemented national‑income accounting in 1886, extending the practice to the Southern Hemisphere.","Australia","National government of Australia.","Australia (1886)"
"Norway","Government","Produced its first national‑income estimate in 1893, completing the 19th‑century European rollout.","Norway","A European country that began creating indicator sets based on conceptual frameworks in the mid‑2000s. National government of Norway.","Norway (1893)"
"Milton Friedman","Individual","Prominent monetarist economist whose ideas contributed to the shift toward supply‑side policies, indirectly influencing the discourse that prioritized GDP over broader wellbeing metrics.","USA","American economist, Nobel laureate (1976), leading figure of the monetarist school.","Names like Milton Friedman (Nobel Prize 1976) and Robert Lucas (Nobel Prize 1995) spring to mind."
"Robert Lucas","Individual","Key proponent of the new classical macro‑economics that emphasized growth and GDP as the central policy goal, shaping the intellectual climate that resisted alternative wellbeing metrics.","USA","American economist, Nobel laureate (1995), founder of the new classical school. American economist, Nobel laureate, founder of the new classical school.","Names like Milton Friedman (Nobel Prize 1976) and Robert Lucas (Nobel Prize 1995) spring to mind."
"Ronald Reagan","Individual","Political leader who adopted and implemented supply‑side economic policies that reinforced GDP‑centric growth models.","USA","42nd President of the United States (1981‑1989), champion of smaller government and deregulation.","This economic vision was also adopted by a new generation of politicians such as Ronald Reagan and Margaret Thatcher, who ran on platforms of smaller government and deregulation."
"Margaret Thatcher","Individual","Political leader who promoted deregulation and growth‑focused policies that upheld GDP as the primary measure of national success.","United Kingdom","Prime Minister of the United Kingdom (1979‑1990), advocate of market‑oriented reforms.","This economic vision was also adopted by a new generation of politicians such as Ronald Reagan and Margaret Thatcher, who ran on platforms of smaller government and deregulation."
"American Economic Association","Organization","Venue for Robert Lucas's presidential address that reaffirmed the primacy of GDP‑oriented macro‑economics.","USA","Professional association of economists in the United States.","Robert Lucas, Nobel Prize winner and founder of the new classical school, said during his presidential address to the American Economic Association in 2003"
"Olivier Blanchard","Individual","Authored a 2008 paper declaring the health of macro‑economics, thereby supporting the continued dominance of GDP‑based assessment.","France","French economist, former chief economist of the International Monetary Fund (IMF).","In a 2008 paper titled "The State of Macro" Olivier Blanchard, who later was the chief economist at the IMF, declared that "the state of macro is good" and that there was a "broad convergence of vision"."
"International Monetary Fund","Organization","Employer of Olivier Blanchard; through its research and policy advice it reinforces GDP‑centric macro‑economic frameworks.","International","International financial institution headquartered in Washington, D.C.","Olivier Blanchard, who later was the chief economist at the IMF"
"Alan Greenspan","Individual","Credited with the ""Great Moderation""—a period of reduced macro‑economic volatility that was largely measured by GDP stability.","USA","American economist, Chairman of the Federal Reserve Bank (1987‑2006).","One other prominent voice of that period was Alan Greenspan, the Chairman of the Federal Reserve Bank, who was credited with the "Great Moderation""
"Federal Reserve Bank","Organization","Institution led by Alan Greenspan that promoted policies emphasizing stable GDP growth and low inflation.","USA","Central banking system of the United States.","Alan Greenspan, the Chairman of the Federal Reserve Bank"
"Bob Woodward","Individual","Authored a biography of Alan Greenspan; not directly involved in the GDP‑or nature‑value initiative.","USA","American investigative journalist, known for Watergate reporting.","When Bob Woodward, famous journalist of Watergate repute, wrote a biography about Alan Greenspan his book was titled Maestro."
"John Kenneth Galbraith","Individual","Critiqued the adequacy of GDP for measuring welfare, influencing later calls for broader wellbeing metrics.","USA","Canadian‑American economist and author of *The Affluent Society*. Harvard economist and author of *The Affluent Society*.","Influential was the Affluent Society by John Kenneth Galbraith, which addressed the inequality of "private wealth and public squalor" and the inadequacy of GDP as a measure of welfare."
"OECD","Organization","Started programmes in the 1970s to address ""problems of modern society,"" reflecting early institutional attention to issues beyond pure GDP growth.","International (headquartered in France)","The Organisation for Economic Co‑operation and Development, an intergovernmental economic organization. The Organisation for Economic Co‑operation and Development, an international intergovernmental o...","By the 1970s, organisations such as the OECD, the bastion of post‑war economic growth, started programmes to address the "problems of modern society"."
"Paul Krugman","Individual","Provided a public critique of economists' failures after the 2008 crisis, shaping debate about the limits of GDP‑focused economics.","US","Economist and New York Times columnist who analyzed the post‑crisis divide among economists.","In the New York Times, a year after the Lehmann Brothers' collapse, Paul Krugman explained the rift in his op-ed "How Did Economists Get It So Wrong?""
"The New York Times","Organization","Served as a platform for disseminating critical perspectives on mainstream economics and GDP‑centric policy making.","US","Major U.S. newspaper that published Krugman's op‑ed on economists' shortcomings.","In the New York Times, a year after the Lehmann Brothers' collapse, Paul Krugman explained the rift in his op-ed "How Did Economists Get It So Wrong?""
"Lehman Brothers","Organization","Its collapse highlighted the fragility of growth‑oriented financial systems, prompting calls for alternative measures of wellbeing beyond GDP.","US","Investment bank whose 2008 bankruptcy triggered a global financial crisis.","Lehman Brothers filed for bankruptcy on 15 September 2008."
"Donald Trump","Individual","Implemented policy shifts (e.g., withdrawal from TPP) that questioned prevailing trade‑driven growth models, indirectly fueling discussion of post‑GDP metrics.","US","45th President of the United States, elected on an isolationist, “America first” platform.","Donald Trump ran on an isolationist platform that wants to limit trade ("America first") and won. He withdrew from the Trans‑Pacific Partnership (TPP) soon after he was elected, which was a major break in US policy."
"Dani Rodrik","Individual","Critiqued the assumption that free trade always enhances welfare, supporting arguments for broader wellbeing indicators beyond GDP.","US","Economist and author of *The Globalisation Paradox*.","Dani Rodrik, in The Globalisation Paradox, shows that although additional free trade might boost the economy a little, it also leads to less democratic control and societal disenchantment."
"Robert Gordon","Individual","Forecasted a prolonged low‑growth era, undermining GDP’s relevance as a sole measure of prosperity.","US","Economist and author of *The Rise and Fall of American Growth*.","Economists such as Robert Gordon in his book The Rise and Fall of American Growth argue that high growth rates are behind us for the foreseeable future."
"Nicolas Sarkozy","Individual","Publicly highlighted public distrust in statistics and market‑centric thinking, contributing to the debate on alternative wellbeing metrics.","FR","Former President of France, interviewed about the Stiglitz Report. President of France (2007‑2012).","Nicolas Sarkozy was interviewed about the Stiglitz Report and addressed the lack of faith in statistics."
"Massachusetts Institute of Technology (MIT)","Organization","Developed high‑frequency economic indicators that could complement or replace traditional GDP reporting.","US","Leading research university that runs the Billion Prices Project.","The "billion prices project" of MIT collects data from websites using webcrawlers to calculate daily inflation rates for many countries."
"Financial Times","Organization","Provided a venue for discussing the erosion of trust in statistical measures and market‑centric narratives.","GB","International business newspaper.","He linked this scepticism to the dominance of economic ("market") thinking in an interview with the Financial Times: "The world over, citizens think we are lying to them, that the figures are wrong, that they are manipulated...""
"Alessandro Sapienza","Individual","Generated empirical evidence of the gap between expert and public views, supporting calls for more inclusive wellbeing metrics.","US","Economist and co‑author of a survey on public trust in economists.","Sapienza and Zingales conducted an interesting survey to see whether there was difference in opinion between economic experts and average Americans."
"Luigi Zingales","Individual","Generated empirical evidence of the gap between expert and public views, supporting calls for more inclusive wellbeing metrics.","US","Economist and co‑author of a survey on public trust in economists.","Sapienza and Zingales conducted an interesting survey to see whether there was difference in opinion between economic experts and average Americans."
"Committee of Statistical Experts of the League of Nations","Organization","Initiated early work on national income measurement, laying groundwork for later System of National Accounts (SNA) that underpins economic metrics beyond GDP.","None","A committee established by the League of Nations to work on statistical issues, including the measurement of national income.","In April 1939, the Committee of Statistical Experts of the League of Nations included in its programme the measurement of national income."
"Statistical Office of the United Nations","Organization","Started work on national income accounting and later contributed to the creation of the first UN handbook of the SNA, a key framework for measuring economic activity.","None","The newly founded statistical branch of the UN responsible for developing international statistical standards.","the newly founded Statistical Office of the UN started to work on two initial tasks: survey sampling theory and national income accounting."
"Richard Stone","Individual","Chaired the subcommittee that produced the 1947 report initiating SNA harmonisation; authored key UN handbooks and guided the adoption of the SNA framework used for economic measurement.","United Kingdom","British economist who chaired the 1945 subcommittee on national income and later led the development of the SNA.","a subcommittee was initiated under the chairmanship of Richard Stone."
"James Meade","Individual","Provided theoretical support that helped shape the early SNA methodology, influencing how economic activity—including environmental dimensions—could be quantified.","United Kingdom","British economist who collaborated with Richard Stone on national income accounts.","Stone had worked in Great Britain on national income accounts together with James Meade and was supported by John Maynard Keynes."
"United States Department of Commerce","Government","Collaborated with Richard Stone, shifting U.S. support toward the Keynes‑Stone accounting structure that became the core of the SNA, a system now being reconsidered for broader wellbeing metrics.","United States","Federal agency responsible for producing official economic statistics in the United States.","the Department of Commerce, which had started regular production of the accounts in the 1930s"
"Milton Gilbert","Individual","Participated in the 1944 tripartite meeting with Stone, helping align U.S. statistical policy with the emerging SNA framework.","United States","Economist at the United States Department of Commerce.","During a meeting in September 1944, Richard Stone and Milton Gilbert of the Department of Commerce met, also in the presence of the Canadian George Luxton."
"George Luxton","Individual","Represented Canadian interests in the discussions that shaped the SNA, contributing to an internationally harmonised accounting system.","Canada","Canadian representative who attended the 1944 meeting on national accounting.","During a meeting in September 1944, Richard Stone and Milton Gilbert of the Department of Commerce met, also in the presence of the Canadian George Luxton."
"Organisation for European Economic Co‑operation (OEEC)","Organization","Published handbooks on national income accounting (1951, 1952) that disseminated the SNA methodology across Europe, facilitating a common statistical language for assessing economic and environmental performance.","None","International body that coordinated European economic reconstruction after World War II (predecessor of the OECD).","He led the work on two OEEC handbooks on national income accounting (1951 and 1952) which were used in the administration of the Marshall Plan."
"League of Nations","Organization","Through its Committee of Statistical Experts, initiated the early agenda of measuring national income, a precursor to modern attempts to value nature within economic accounts.","None","Pre‑World War II intergovernmental organization that preceded the United Nations.","In April 1939, the Committee of Statistical Experts of the League of Nations included in its programme the measurement of national income."
"Robert Kennedy","Individual","Delivered a high‑profile speech in 1968 that argued against using GDP/GNP as the primary metric of national progress, highlighting the need to incorporate health, education, cultural, and environmental values.","United States","U.S. Senator and brother of President John F. Kennedy, known for his 1968 speech criticizing GDP as a measure of societal wellbeing.","In 1968, Robert Kennedy gave one of the most eloquent of speeches to argue against GDP (or rather GNP at the time): ""Too much and for too long, we seemed to have surrendered personal excellence and community values in the mere accumulation of material things... It does not include the beauty of our..."
"John F. Kennedy","Individual","Instrumental in persuading the OECD to adopt a growth‑target policy for member countries, thereby reinforcing GDP as the dominant economic metric.","United States","35th President of the United States who promoted economic growth targets based on GDP during the early 1960s.","John F. Kennedy was instrumental in convincing the OECD to set a growth target for all OECD countries in 1961. In that year, the OECD pledged to increase GDP in OECD countries by 50 per cent in 1970."
"Kennedy family","Coalition","Served as a high‑visibility example of shifting attitudes toward GDP, illustrating both support for and criticism of GDP‑centric policy within a single influential lineage.","United States","Prominent American political family, including Robert Kennedy and John F. Kennedy.","The change in attitude towards GDP in the Kennedy family. In 1968, Robert Kennedy gave one of the most eloquent of speeches to argue against GDP... What is usually not mentioned is that this is a complete reversal of the policies adopted by his brother, President John F. Kennedy less than a decade b..."
"United Nations Statistics Division","Organization","Conducts the Global Assessment of Environmental‑Economic Accounting, supplying data used in the SEEA (System of Environmental and Economic Accounts) component of Beyond‑GDP measurement.","International (based in New York, USA)","The statistical arm of the United Nations responsible for global standards and data collection on economic and environmental indicators.","responses to the Global Assessment of Environmental‑Economic Accounting which is carried out by the United Nations Statistics Division."
"Global Footprint Network","NGO","Calculates the ecological footprint for 186 countries, providing a globally comparable indicator that feeds into Beyond‑GDP discussions about natural capital and wellbeing.","United States","A global network that compiles, standardises and disseminates ecological footprint data for countries worldwide. A non‑profit organization that develops and disseminates the Ecological Footprint accou...","the ecological footprint is calculated for 186 countries by the Global Footprint Network"
"Gallup","Organization","Produces recent polls on Subjective Well‑Being (SWB) covering around 140 countries, supplying data used in Beyond‑GDP wellbeing metrics.","United States","A U.S. analytics and advisory company known for worldwide public‑opinion polling.","the most recent Gallup polls on SWB cover around 140 countries"
"Edens","Individual","Supplies quantitative estimates that underpin the SEEA component of Beyond‑GDP measurement systems.","None","Researcher cited for providing estimates used in the SEEA analysis.","estimates by Edens (2013) are used as well"
"Forrester","Individual","Developed the computer simulation techniques used in the *Limits to Growth* report, helping to visualise the consequences of unchecked economic growth.","USA","MIT professor (Jay W. Forrester) who pioneered system dynamics modelling.","which had been developed by a Massachusetts Institute of Technology (MIT) professor, Forrester."
"Gro Harlem Brundtland","Individual","Chaired the commission that produced the *Brundtland Report*, which coined “sustainable development” and linked environmental health to economic decision‑making.","Norway","Former Prime Minister of Norway and chairperson of the UN World Commission on Environment and Development.","after Gro Harlem Brundtland, the chairperson of the commission."
"David Cameron","Government","Initiated a national programme to measure subjective well‑being and introduced the “Wheel of Well‑being”, contributing to the shift away from GDP‑only accounting.","United Kingdom","Prime Minister of the United Kingdom (2010‑2016).","David Cameron, Prime Minister of the UK, started a process to measure subjective well‑being, including a programme to measure SWB on a quarterly basis and to create a Wheel of Well‑being."
"Thomas Piketty","Individual","Provided a powerful critique of inequality that influenced the broader Beyond‑GDP debate about wealth distribution and welfare measurement.","France","French economist and author of *Capital in the Twenty‑First Century*.","as well as Thomas Piketty's book on inequality (Capital in the Twenty‑First Century), which has had a significant impact on the Beyond‑GDP debate."
"Club of Rome","Organization","Raised global awareness of the environmental limits to economic growth, spurring early interest in alternative development indicators.","International (headquartered in Switzerland)","International think‑tank that published the *Limits to Growth* report in 1972.","1972 was also the year that the seminal Limits to Growth report of the Club of Rome was published."
"United Nations Environmental Programme (UNEP)","Organization","Institutionalised environmental concerns within the UN system, prompting many governments to create dedicated environment ministries and consider non‑GDP metrics.","Kenya (headquarters in Nairobi)","UN agency created to coordinate global environmental activities.","It created the United Nations Environmental Programme, which stimulated governments all over the world to set up environmental ministries."
"United Nations World Commission on Environment and Development (WCED)","Organization","Popularised the concept of sustainable development, providing a narrative that links environmental health, social equity, and economic policy.","International (based in Geneva, Switzerland)","UN commission that produced the 1987 *Our Common Future* (Brundtland) report.","the seminal publication by the United NationsWorld Commission on Environment and Development (WCED) in 1987."
"Eurostat","Organization","Started work on Sustainable Development Indicators in 2005, contributing statistical foundations for measuring progress beyond GDP.","Luxembourg","Statistical office of the European Union responsible for producing European-wide statistics. Statistical office of the European Union, headquartered in Luxembourg. Statistical office of the European U...","Eurostat (the statistical office of the European Union) started work on Sustainable Development Indicators in 2005."
"Commission on the Measurement of Economic Performance and Social Progress (CMEPSP)","Organization","Produced the Stiglitz Report, a landmark document advocating the replacement of GDP with broader well‑being indicators.","France","French presidential commission created in 2009 to review GDP and propose new metrics.","In 2009, Nicolas Sarkozy, President of France, set up the Commission on the Measurement of Economic Performance and Social Progress."
"Working Group for Statistics of Sustainable Development (WGSSD)","Organization","Advanced methodological convergence for measuring progress beyond GDP across UN agencies and statistical offices.","International","UN‑led expert group (2004‑2009) that worked on harmonising sustainable‑development statistics.","the Working Group for Statistics of Sustainable Development (WGSSD) (2004-2009)"
"Task Force for Sustainable Development (TFSD)","Organization","Continued the work of WGSSD, promoting coherent global metrics that incorporate environmental and social values.","International","UN‑led task force (2009‑2014) focused on sustainable‑development indicators.","the Task Force for Sustainable Development (TFSD) (2009-2014)"
"United Nations Economic Commission for Europe (UN‑ECE)","Organization","Co‑led the harmonisation efforts (WGSSD, TFSD) that underpinned the development of Beyond‑GDP indicators.","Switzerland","Regional UN body based in Geneva, Switzerland.","which were led by the UN‑ECE, OECD and Eurostat."
"Gallup World Poll","Organization","Conducts large‑scale surveys on subjective well‑being across many countries, supplying data that feeds alternative well‑being metrics beyond GDP.","United States","A global public‑opinion polling initiative run by Gallup, a U.S. analytics and advisory firm.","The Gallup World Poll started in 2005 with 26 countries and had expanded to around 140 countries by 2018."
"Daniel Kahneman","Individual","Advocates the hedonic‑psychology approach to well‑being and co‑developed the ""U‑index"" for quantifying negative experiences, influencing how affective dimensions are measured in Beyond‑GDP frameworks.","United States","Psychologist, Nobel laureate in Economics (2002), and a founding figure of behavioural economics.","The proponents of which include Daniel Kahneman, a psychologist, one of the founders of behavioural economics and winner of the Nobel Prize in economics in 2002."
"Alan Krueger","Individual","Co‑author with Kahneman of the 2006 paper that proposes the ""U‑index"" for measuring time spent on unpleasant activities, contributing methodological tools for well‑being measurement.","United States","Economist and public‑policy scholar known for work on happiness economics.","Kahneman and Krueger (2006) suggest that any episode can be quantified as positive or negative."
"European Value Survey","Organization","Provides longitudinal data on subjective well‑being and related attitudes, supporting the development of indicator‑based Beyond‑GDP measurement systems.","European Union","A large‑scale, cross‑national survey programme that collects data on values, attitudes, and well‑being in European societies.","From 1981, academic groups started to work on the European Value Survey and World Value Survey in order to compare various SWB and other attitudes over multiple countries."
