Title,Year,Type,Significance,Description,Supporting_Text
"UN Earth Summit (Rio+20) in Rio de Janeiro, Brazil",2012,"Conference",,"The United Nations Conference on Sustainable Development, known as Rio+20, convened in Rio de Janeiro to assess progress and set new agendas for global sustainability.","2012 UN Earth Summit (Rio+20) takes place in Rio de Janeiro, Brazil"
"Publication of IPCC Fifth Assessment Report",2014,"Publication",,"The Intergovernmental Panel on Climate Change issued its fifth comprehensive assessment report, updating scientific understanding of climate change and its impacts.","2014 IPCC publishes its fifth assessment report on climate change"
"Founding of major environmental NGOs (Friends of the Earth, Greenpeace, NRDC)",1969,"Process",,"Between 1969 and 1972, three influential environmental campaign groups—Friends of the Earth, Greenpeace, and the Natural Resources Defense Council—were established, marking a rapid expansion of organi...","In just three years between 1969 and 1972, the campaign groups Friends of the Earth (FoE), Greenpeace and the Natural Resources Defense Council (NRDC) were founded"
"Publication of Silent Spring",1962,"Publication",,"Rachel Carson's book Silent Spring was published, linking the dangers of the atomic bomb to the misuse of pesticides and emphasizing humanity's capacity to destroy nature and itself.","Rachel Carson's book Silent Spring (1962) was among the first to link the dangers of the atomic bomb to the misuse of pesticides, emphasising humanity's capacity to destroy nature and itself."
"Publication of The Tragedy of the Commons",1968,"Publication",,"Garrett Hardin published The Tragedy of the Commons, a seminal essay that highlighted the problem of shared resource overuse and raised anxieties about the future of the planet.","'The Tragedy of the Commons' (Garrett Hardin, 1968) ... raised wider anxieties about the future of the planet"
"Publication of The Limits to Growth",1972,"Publication",,"The Limits to Growth, authored by Meadows and colleagues, was published, presenting computer‑modelled scenarios of exponential economic and population growth within a finite planet.","'The Tragedy of the Commons' (Garrett Hardin, 1968) and The Limits to Growth (Meadows et al., 1972) raised wider anxieties about the future of the planet"
"Publication of A Blueprint for Survival",1972,"Publication",,"The Ecologist released A Blueprint for Survival, outlining a set of green alternatives and strategies for confronting environmental crises.","'A Blueprint for Survival' (The Ecologist, 1972) ... sketched out green alternatives."
"Publication of Small is Beautiful",1973,"Publication",,"E. F. Schumacher published Small is Beautiful, advocating for sustainable, human‑scale economics and presenting green alternatives to conventional growth models.","Small is Beautiful (E. F. Schumacher, 1973) sketched out green alternatives."
"Torrey Canyon oil spill",1967,"Other",,"The super‑tanker Torrey Canyon struck a reef between the UK mainland and the Isles of Scilly in March 1967, creating an oil slick that covered 120 miles of the Cornish coast and killed tens of thousan...","The first major oil spill in Britain occurred when the super tanker Torrey Canyon struck a reef between the UK mainland and the Isles of Scilly in March 1967. The resulting oil slick covered 120 miles of Cornish coast, killing tens of thousands of birds."
"Union Oil Company platform explosion (Santa Barbara oil spill)",1969,"Other",,"An explosion on the Union Oil Company offshore platform six miles off Santa Barbara, California, released hundreds of thousands of gallons of crude oil into the ocean.","Two years later, an explosion on the Union Oil Company oil platform, six miles off the coast of Santa Barbara in California, resulted in the release of hundreds of thousands of gallons of crude oil."
"First nature reserve purchase by the Royal Society for the Protection of Birds (RSPB)",1930,"Event",,"The RSPB acquired its first nature reserves, marking the start of its direct land‑conservation activities.","did not purchase its first nature reserves until 1930"
"RSPB managing fifteen nature reserves",1941,"Event",,"By 1941 the RSPB was responsible for the management of fifteen nature reserves across the UK.","by 1941 it was managing fifteen reserves"
"Securing early planning restrictions through Acts of Parliament by the Council for the Preservation of Rural England (CPRE)",None,"Process",,"During the 1930s and 1940s the CPRE focused on the planning system and succeeded in obtaining early statutory restrictions on town‑and‑country development.","In the 1930s and 1940s, the Council for the Preservation of Rural England (CPRE) ... focused on the planning system and secured early restrictions to town and country development through Acts of Parliament."
"Formation of community‑based offshoots of the environmental movement",None,"Process",,"Throughout the 1980s and 1990s new, community‑oriented strands of the environmental movement emerged in response to globalisation.","the 1980s and 1990s saw the formation of distinct, community‑based offshoots of the environmental movement"
"Emergence of a new environmental social movement",None,"Event",,"The 1960s experienced a surge in environmental activity that gave rise to a new social movement mobilising public opinion and pressuring governments and businesses.","The 1960s saw a surge in environmental activity ... This resulted in the emergence of a new social movement"
"Establishment of the Wilderness Society",1935,"Organization",,"Founding of the Wilderness Society, an environmental organization dedicated to protecting wilderness areas.","the Wilderness Society (est. 1935)"
"Establishment of the National Wildlife Federation",1936,"Organization",,"Founding of the National Wildlife Federation, an organization focused on wildlife conservation.","National Wildlife Federation (est.1936)"
"Establishment of Defenders of Wildlife",1947,"Organization",,"Founding of Defenders of Wildlife, an organization working to protect wildlife and their habitats.","Defenders of Wildlife (est. 1947)"
"Establishment of the World Wildlife Fund",1961,"Organization",,"Founding of the World Wildlife Fund (now World Wide Fund for Nature) in Switzerland.","World Wildlife Fund in Switzerland (WWF) (est. 1961"
"Establishment of the Environmental Defense Fund",1967,"Organization",,"Founding of the Environmental Defense Fund, a U.S. nonprofit environmental advocacy group.","Environmental Defense Fund (EDF) (est. 1967"
"Establishment of Friends of the Earth",1969,"Organization",,"Founding of Friends of the Earth (FoE), an international network of environmental organizations.","FoE (est. 1969"
"Establishment of the Natural Resources Defense Council",1970,"Organization",,"Founding of the Natural Resources Defense Council (NRDC), a U.S. environmental advocacy group.","NRDC (est. 1970"
"Establishment of Greenpeace",1971,"Organization",,"Founding of Greenpeace, an international environmental activist organization.","Greenpeace (est. 1971"
"FoE and EDF lawsuit to stall Alaskan oil pipeline",1971,"Court decision",,"Friends of the Earth and the Environmental Defense Fund filed a lawsuit that delayed construction of a $2.5 billion oil pipeline in Alaska.","A 1971 Associated Press article published as 'Revolt of the Bird Watchers' documents a lawsuit by FoE and the EDF stalling construction of a US$2.5 billion Alaskan oil pipeline."
"Publication of ""Revolt of the Bird Watchers"" article",1971,"Publication",,"Associated Press released an article titled "Revolt of the Bird Watchers" reporting on the FoE and EDF lawsuit against the Alaskan oil pipeline.","A 1971 Associated Press article published as 'Revolt of the Bird Watchers' documents a lawsuit by FoE and the EDF stalling construction of a US$2.5 billion Alaskan oil pipeline."
"Establishment of major environmental organisations (1961‑1971)",None,"Process",,"A ten‑year period during which many leading environmental NGOs were founded, including WWF (1961), EDF (1967), FoE (1969), NRDC (1970) and Greenpeace (1971).","Over a ten-year period (1961-71), many major environmental organisations were established. These included the World Wildlife Fund in Switzerland (WWF) (est. 1961; now the World Wide Fund for Nature)11; and in North America, the Environmental Defense Fund (EDF) (est. 1967), FoE (est. 1969), NRDC (est..."
"Publication of ""Silent Spring""",1962,"Publication",,"Rachel Carson’s bestselling book brought the dangers of aerial DDT spraying to widespread public attention, catalising environmental concern about the pesticide.","In 1962, Rachel Carson brought DDT aerial spraying to widespread public attention through her bestselling book Silent Spring"
"Court order forcing U.S. federal government to consider a national DDT ban",1971,"Court decision",,"The Environmental Defense Fund, supported by the Izaak Walton League and the National Audubon Society, won a court order compelling the federal government to evaluate a nationwide ban on DDT.","In 1971 the EDF, with support from the Izaak Walton League and National Audubon Society, won a court order forcing the federal government to consider a national DDT ban"
"Adoption of national DDT ban by U.S. Congress",1972,"Policy",,"Following the 1971 court order, the United States Congress formally adopted a ban on the pesticide DDT.","won a court order forcing the federal government to consider a national DDT ban, which Congress adopted a year later"
"FoE inaugural international meeting",1971,"Meeting",,"Friends of the Earth (FoE) convened representatives from France, Sweden, the United Kingdom and the United States, marking the first step toward an international network.","In 1971, FoE took its first steps towards becoming an international network with a meeting of representatives from France, Sweden, UK and the USA"
"FoE UK launch of campaign against non‑returnable bottles",1971,"Movement",,"Friends of the Earth UK began its first anti‑single‑use‑bottle campaign, staging a publicity stunt that dumped hundreds of glass bottles at Schweppes’ London headquarters.","In 1971, FoE UK launched its first campaign against non-returnable bottles... Hundreds of glass bottles were dumped outside the front door of the London headquarters of Schweppes"
"Brice Lalonde candidacy in French presidential election",1981,"Other",,"Brice Lalonde ran as the candidate of the Mouvement d’Ecologie Politique in the 1981 French presidential election, receiving 3.9 % of the vote.","Brice Lalonde (b. 1946) as a candidate for the Mouvement d'Ecologie Politique in the 1981 Presidential elections and won 3.9 per cent of the total vote"
"Founding of Miljöpartiet de gröna (Swedish Green Party)",1981,"Organization",,"Sweden’s Miljöpartiet de gröna was established as a green political party, becoming one of the first such parties in Europe.","Founded in 1981, it took less than a decade to establish itself on the national scene"
"Miljöpartiet electoral breakthrough in Swedish parliamentary election",1988,"Other",,"Miljöpartiet secured 5.5 % of the vote and won twenty seats in the Swedish parliament, the first new party to enter parliament in seventy years.","By 1988, environmental issues were at the top of the political agenda... Miljöpartiet received 5.5 per cent of the vote and gained twenty seats in parliament"
"Finnish Green League parliamentary recognition",1991,"Political recognition",,"The Finnish Green League (Vihreä liitto) achieved formal parliamentary recognition in Finland.","the Finnish Green League (Vihreä liitto) secured parliamentary recognition in 1991"
"Finnish Green League enters national government",1995,"Government participation",,"The Finnish Green League became the first green party in Western Europe to join a national government.","became the first green party in Western Europe to enter a national government in 1995"
"Development of environmental movements in Central and Eastern Europe",None,"Process",,"During the 1990s, countries such as the Czech Republic, Hungary and Poland saw the emergence and growth of environmental movements.","In Central and Eastern Europe during the 1990s, communist-ruled countries such as the Czech Republic, Hungary and Poland also saw the development of environmental movements"
"Environmental activism as safe critique during Gorbachev leadership",None,"Process",,"From 1988 to 1991, environmental activism in Soviet‑controlled countries was used as a relatively safe avenue to criticize the regime, mobilising substantial public support.","During the Soviet leadership of Mikhail Gorbachev (1988-91), environmental activism in communist countries was seen as a safe way of criticising the Soviet regime, and environmental groups mobilised a great deal of public support"
"Shift in environmental issue prominence during post‑communist transition",None,"Process",,"Following the collapse of communist regimes, environmental issues receded on political agendas as citizens focused on institutional, political and economic reforms.","During the transition from communist rule, environmental issues dropped down the political agenda as the focus of citizens turned to institutional change and political and economic reform"
"Establishment of the West German Green Party",1979,"Organization",,"Founding of the West German Green Party, emerging from student protests of the late 1960s and becoming a key environmental political force in West Germany.","West German Green Party (est. 1979)"
"Formation of Bündnis 90/Die Grünen",1993,"Organization",,"Merger of the West German Green Party with an East German alliance of parties, creating the unified German Green party (Bündnis 90/Die Grünen).","grew out of a partnership of the West German Green Party (est. 1979) and an East German alliance of parties in 1993"
"Renaming of the People Party to the Ecology Party",1975,"Organization",,"The UK‑based People Party changed its name to the Ecology Party, signalling a clearer environmental focus.","People Party, which changed its name to the Ecology Party in 1975"
"Renaming of the Ecology Party to the Green Party of England and Wales",1990,"Organization",,"The Ecology Party adopted its current name, the Green Party of England and Wales, further consolidating the green political brand in the UK.","later to the Green Party of England and Wales in 1990"
"First‑anniversary Chernobyl protest in the United Kingdom",1987,"Other",,"Friends of the Earth (FoE) and the Campaign for Nuclear Disarmament (CND) organised a mass protest in the UK to mark the first anniversary of the 1986 Chernobyl disaster, drawing about 100,000 partici...","To mark the first anniversary of the disaster, FoE and the Campaign for Nuclear Disarmament (CND) organised a protest in the UK attended by 100,000 people."
"1989 European Parliamentary Elections – UK Green Party vote share",1989,"Other",,"In the 1989 European Parliamentary Elections the UK Green Party received 2.2 million votes (about 15 % of the total), demonstrating significant public support for green politics.","In the 1989 European Parliamentary Elections, the UK Green Party won the support of 2.2 million people - equivalent to 15 per cent of the vote."
"Election of Caroline Lucas as Britain’s first Green MP",2010,"Other",,"Caroline Lucas was elected Member of Parliament for Brighton Pavilion, becoming the first Green Party representative in the UK House of Commons.","it took until 2010 for Caroline Lucas (b. 1960) to be elected as Britain's first Green Party Member of Parliament, for Brighton Pavilion."
"Internal reforms within the UK Green Party (approx. 1989–2010)",None,"Process",,"A gradual, two‑decade‑long process of internal reforms aimed at improving the party’s electability and organisational structure, culminating in the 2010 election of a Green MP.","Over the next two decades internal reforms were slowly put into place, but it took until 2010 for Caroline Lucas (b. 1960) to be elected as Britain's first Green Party Member of Parliament, for Brighton Pavilion."
"Julian Huxley's wildlife conservation trip to East Africa",1960,"Other",,"British biologist Sir Julian Huxley, then Director General of UNESCO, traveled to East Africa on a wildlife‑conservation mission and later warned the public about habitat destruction.","In 1960, British biologist Sir Julian Huxley (1887-1975), first Director General of the UN Educational, Scientific and Cultural Organization (UNESCO), undertook a wildlife conservation trip to East Africa."
"WWF launch of first British fundraising appeal",1961,"Other",,"The World Wide Fund for Nature (WWF) issued a special issue of the Daily Mirror featuring black rhinos and its panda logo to raise funds for environmental projects, raising US$1.9 million in its first...","In 1961, WWF launched its first British fundraising appeal with a special issue of the Daily Mirror newspaper. Pictures of black rhinos featured on the front page of the tabloid with the headline 'Doomed', together with WWF's panda logo..."
"Establishment of the Don't Make a Wave Committee",1970,"Organization",,"A group of peace activists formed the Don't Make a Wave Committee to oppose U.S. nuclear bomb testing at Amchitka Island, later chartering a ship named Greenpeace.","Greenpeace engaged global audiences in a very different way. It can trace its beginnings to a group of peace activists who wanted to stop US nuclear bomb testing at Amchitka Island off the west coast of Alaska. The group called themselves the Don't Make a Wave Committee (est. 1970)..."
"Establishment of Greenpeace",1971,"Organization",,"Key members of the Don't Make a Wave Committee founded Greenpeace as a campaign organization, adopting the name of their ship.","Taking the name of the ship as an inspiration, key members of the Don't Make a Wave Committee established Greenpeace (est. 1971) as a campaign organisation."
"International Whaling Commission decision to ban commercial whaling",1982,"Policy",,"Following lobbying by the United States and other governments, the IWC voted to prohibit commercial whaling; the ban entered into force in 1986.","Following lobbying by the US government among others, the International Whaling Commission finally took the decision to ban commercial whaling in 1982, with the ban coming into force in 1986."
"Bombing of the Rainbow Warrior in Auckland",1985,"Other",,"A diver attached a limpet mine to the Greenpeace vessel Rainbow Warrior while docked in Auckland; the explosion killed a crew member and was later traced to the French intelligence agency.","In 1985, a diver attached a limpet mine to the Greenpeace boat Rainbow Warrior while it was docked in Auckland, New Zealand. The mine exploded, causing a hole in the side of the boat, and killed one of the ship's crew. Later it emerged that the mine had been planted by the French Intelligence Agency..."
"Cessation of nuclear testing on Amchitka Island",1971,"Other",,"After Greenpeace's first direct‑action voyage, the United States halted nuclear testing at Amchitka Island.","Greenpeace's first voyage failed to stop the Amchitka test, but gained national media coverage. Nuclear testing on Amchitka ended that same year..."
"Discovery of toxic waste in Love Canal",1978,"Event",,"The first publicised incident of toxic waste discovery that raised awareness of hazardous waste contamination in the United States, occurring in the Love Canal neighbourhood of New York State.","the 1978 discovery of toxic waste in the Love Canal neighbourhood in New York State"
"Emergency clean‑up of the Valley of the Drums",1979,"Event",,"A rapid response operation to remove toxic waste from a 23‑acre dump in Kentucky, highlighted by extensive media coverage.","media coverage of the 1979 emergency clean up of the Valley of the Drums - a twenty-three-acre toxic waste dump in Kentucky"
"Permanent evacuation of Times Beach, Missouri",1983,"Event",,"The federal government ordered the complete evacuation of the town of Times Beach after a severe dioxin contamination scare.","the 1983 permanent evacuation of Times Beach in Missouri due to a toxin scare"
"Afton hazardous‑waste landfill protest",1982,"Protest",,"Residents of the predominantly Black community of Afton, Warren County, North Carolina, staged a protest and six weeks of marches against the construction of a hazardous‑waste landfill, resulting in o...","the beginning of the movement is widely associated with a 1982 protest against a newly constructed hazardous waste landfill site by residents of Afton, a predominantly black community in Warren County in North Carolina"
"Establishment of the U.S. Superfund program",1980,"Policy",,"The United States created the Superfund (Comprehensive Environmental Response, Compensation, and Liability Act) to fund the cleanup of abandoned hazardous‑waste sites.","the US authorities had attempted to respond to the issue of abandoned hazardous waste sites through measures such as the 1980 Superfund set up to fund site clean ups"
"Publication of ""Toxic Wastes and Race"" report",1987,"Publication",,"The United Church of Christ's Commission for Racial Justice released a landmark study showing race as the strongest predictor of hazardous‑waste facility siting, galvanising the environmental‑justice ...","in 1987, the United Church of Christ's Commission for Racial Justice published Toxic Wastes and Race"
"Signing of Executive Order on Environmental Justice",1994,"Court decision",,"President Bill Clinton signed an executive order that reinforced civil‑rights and environmental laws and required federal agencies to consider environmental justice in all their actions.","in 1994, President Bill Clinton recognised the importance of this issue when he signed an Executive Order reinforcing civil rights and environmental laws and requiring federal regulatory agencies to consider environmental justice in all their work"
"Emergence of a new wave of high‑profile grassroots and community‑based movements",None,"Process",,"During the 1980s and 1990s, a series of high‑profile grassroots and community‑based movements arose, including the US environmental‑justice movement and the UK anti‑roads movement, reshaping activism ...","The 1980s and 1990s saw the emergence of a new wave of high-profile grassroots and community-based movements."
"Development of the 1990s global countercultural movement",None,"Process",,"Coalitions and campaign tactics emerging from US and UK grassroots movements contributed to a broader global countercultural movement in the 1990s, linking environmental, social and economic justice c...","This led to new and distinctive coalitions and campaign tactics that contributed to the development of the 1990s global countercultural movement."
"Establishment of Global Witness",1993,"Organization",,"Specialist group Global Witness was founded in 1993 to address the links between trade in natural resources, human rights abuses, corruption and conflict.","So too are specialist groups such as Global Witness (est. 1993), which tackles the links between trade in natural resources, human rights abuses, corruption and conflict."
"Margaret Thatcher speech on climate change at the UN",1989,"Other",,"Conservative Prime Minister Margaret Thatcher delivered a speech on climate change at the United Nations in 1989.","in the same year that the UK Green Party had achieved success in the 1989 European elections, the Conservative Prime Minister Margaret Thatcher gave a speech on climate change at the UN."
"Publication of Roads for Prosperity White Paper",1989,"Publication",,"The Conservative government set out its road‑building plans in the 1989 transport White Paper “Roads for Prosperity”.","the Conservative government's plans for the 'largest road-building programme in the UK since the Romans', set out in the 1989 transport White Paper Roads for Prosperity (1989)."
"Publication of This Common Inheritance White Paper",1990,"Publication",,"The British Government published “This Common Inheritance”, the first ever White Paper on the environment, in 1990.","A year later, the British Government published This Common Inheritance (1990), the first ever White Paper on the environment."
"Publication of Getting Nowhere Fast",1976,"Publication",,"Friends of the Earth published “Getting Nowhere Fast” in 1976, questioning the desirability of increased car use.","FoE had campaigned against road schemes since 1972, and in 1976 published Getting Nowhere Fast, questioning the desirability of increased car use."
"Twyford Down road protest",1991,"Other",,"The first road protest camp to hit national news; the protest lasted one year and was followed by mass trespass events along the motorway.","Twyford Down was the first road protest camp to hit the national news in 1991. The protest lasted one year and was followed by mass trespass events along the motorway."
"M11 link road protest",1995,"Other",,"Protest against the M11 link road in London in 1995.","Other road protests included ... the M11 link road in London ... in 1995."
"Newbury bypass protest",1995,"Other",,"Protest against the Newbury bypass in 1995.","Other road protests included ... the Newbury bypass in 1995."
"Cancellation of UK road‑building programme",1997,"Policy",,"The incoming Labour Government cancelled the Conservative road‑building programme in 1997.","The Conservative government's road-building programme was scaled down over time and eventually cancelled in 1997 by the incoming Labour Government."
"Emergence of UK anti‑roads movement",None,"Process",,"The UK anti‑roads movement emerged in the early 1990s as a single‑issue campaign supported by a wide range of groups from inside and outside the environmental movement.","The UK anti‑roads movement is an example of a single‑issue campaign that was supported by a wide range of groups from inside and outside the environmental movement. It emerged in the early 1990s with renewed public interest in the environment."
"M17 Glasgow road protest campaign",1993,"Process",,"Road protests on the M17 through Glasgow from 1993 to 1995, known as the “Pollock Free State”.","Other road protests included those on the M17 through Glasgow from 1993 to 1995 ('the Pollock Free State'), ..."
"Campaign for Twyford Down",None,"Process",,"A prolonged campaign opposing the Twyford Down road scheme that lasted almost twenty years, culminating in the 1991 protest.","The campaign for Twyford Down had lasted almost twenty years."
"Launch of Buy Nothing Day (USA)",1992,"Other",,"The anti‑consumerist Buy Nothing Day was first launched in the United States, embodying the ideals of a countercultural movement that opposed global brands and multinational corporations.","The anti-consumerist Buy Nothing Day, first launched in the USA in 1992, encapsulated the ideals of this countercultural movement."
"Greenpeace protest at World Bank anniversary celebrations",1994,"Protest",,"During the World Bank’s anniversary celebrations in Madrid, Greenpeace activists disrupted the event by showering attendees with fake dollar bills while protesters chanted outside.","During the 1994 World Bank anniversary celebrations in Madrid, Spain, Greenpeace activists interrupted proceedings, showering attendees with fake dollar bills while protesters chanted outside."
"Establishment of independent media centre for 1989 WTO Seattle protests",1989,"Organization",,"Activists set up an independent media centre that allowed anyone to upload news and reports from the Seattle WTO protests, attracting over a million hits within a few days.","When activists established an independent media centre for anyone to upload news and reports from the 1989 WTO Seattle protests, the website received over a million hits over a couple of days."
"Protests outside the Seattle WTO negotiations",1999,"Protest",,"Environmental and development activists protested outside the WTO negotiations in Seattle, highlighting concerns that environmental standards could be used as trade protectionism.","Environmental issues were a key concern of activists protesting outside the Seattle WTO negotiations in 1999."
"Global Street Party at the 24th G8 summit",1998,"Protest",,"Veterans of the anti‑roads movement and members of Reclaim the Streets took part in a Global Street Party that coincided with the 24th G8 summit in Birmingham, UK.","In 1998, veterans of the anti-roads movement and Reclaim the Streets participated in the Global Street Party that coincided with the twentyfourth G8 summit in Birmingham in the UK."
"Genoa G8 summit protests",2001,"Protest",,"At the 2001 G8 summit in Genoa, Italy, around 200,000 protestors clashed with police over two days; a protester was shot dead and organizers of the local independent media centre were beaten by Italia...","This came to a head at the 2001 G8 summit in Genoa, Italy attended by an estimated 200,000 protestors. Over two days of running battles between protestors and security forces, a man was shot dead and organisers of the local independent media centre were badly beaten by Italian police."
"Ongoing meetings of the World Social Forum",2001,"Process",,"The World Social Forum has convened regularly since 2001, providing a recurring platform for civil‑society organisations, including environmental groups, to coordinate and exchange ideas.","These networks continue to develop through a number of avenues such as the World Social Forum, which has met on a regular basis since 2001."
"Launch of the Green My Apple campaign",2006,"Other",,"Greenpeace launched the Green My Apple campaign targeting Apple to remove hazardous substances from its products, creating a website for Apple fans to generate campaign material and mobilising interne...","In 2006, Greenpeace launched the Green My Apple campaign when it found Apple less responsive than other computer companies to removing hazardous substances from products."
"Greenpeace corporate campaign activities (past twenty years)",None,"Process",,"Over the past twenty years Greenpeace has run multiple campaigns that secured concessions or changes in corporate policy from major companies such as Apple, Bayer, Coca Cola, Dell, McDonalds, Monsanto...","Over the past twenty years, it has launched campaigns that have brought about concessions or changes in corporate policy by Apple, Bayer, Coca Cola, Dell, McDonalds, Monsanto and Nestlé, among many others."
"Greenpeace activist actions (past forty years)",None,"Process",,"For roughly four decades most Greenpeace actions were carried out by a small core of activists; more recently the organization has expanded to mobilise internet activists globally to support its campa...","Whereas most Greenpeace actions over the past forty years have been undertaken by a handful of committed activists, it now mobilises internet activists across the globe to support its campaigns."
"WWF International joins HSBC in £35 million partnership",2002,"Other",,"WWF International, together with Earthwatch and Botanic Gardens Conservation International, entered a five‑year, £35 million partnership with HSBC bank to fund conservation projects along the Yangtze,...","In 2002, WWF International, together with Earthwatch and Botanic Gardens Conservation International, joined the HSBC bank in a five-year, £35 million partnership."
"Friends of the Earth accuses HSBC of financing forest destruction",2004,"Other",,"Friends of the Earth (FoE) publicly accused HSBC of financing forest destruction and social conflict, alleging the bank had arranged over US$1.6 billion in loans and credit guarantees to the Indonesia...","Two years after the WWF deal, FoE accused HSBC of financing forest destruction and social conflict, and stated that over the previous ten years it had helped arrange over US$1.6 billion in loans and credit guarantees to the palm oil sector in Indonesia."
"Greenpeace publishes investigation of Noel Kempff Climate Action Project",2009,"Publication",,"Greenpeace released findings of its investigation into the Noel Kempff Climate Action Project, labeling it a 'carbon scam' and questioning its claimed carbon emissions reductions and benefits to local...","In 2009, Greenpeace published the findings of its investigation of the Noel Kampff Climate Action Project, a protected forest area set up in 1997 by the Nature Conservancy, BP, Pacificorp, American Electric Power and the Bolivian Government."
"Adoption of the 2008 Climate Change Act by the UK government",2008,"Policy",,"The UK government enacted the Climate Change Act 2008, establishing the world’s first legally binding targets to cut six greenhouse gases by 80 % by 2050 relative to 1990 levels.","FoE's The Big Ask campaign helped create the public momentum needed for the UK government to adopt the 2008 Climate Change Act, which set the world's first legally binding targets to reduce six greenhouse gases by 80 per cent by 2050 compared with a 1990 baseline."
"Establishment of the Committee on Climate Change",2008,"Organization",,"The independent Committee on Climate Change was created to advise the UK government on meeting the targets and policies set out in the Climate Change Act.","The Act ... resulted in the independent Committee on Climate Change being established to provide advice to government on these targets and related policies."
"Shift of environmental groups toward partnership models with governments and corporations",None,"Process",,"Over the past thirty years, many environmental groups have moved from recruiting individual members to forming partnerships with governments and corporations, exemplified by Conservation International...","Over the past thirty years, some environmental groups have shifted their focus from recruiting members of the public to establishing partnerships with governments and corporations. The US‑based group Conservation International (est. 1987) partnered with other organisations from the beginning... Foru..."
"Launch of The Big Ask campaign",2005,"Movement",,"Thom Yorke, lead singer of Radiohead, launched The Big Ask campaign to demand strong climate legislation in the UK.","Thom Yorke (b. 1968), lead singer of the music group Radiohead, launched The Big Ask campaign on 25 May 2005."
"Opening of Early Day Motion 178 parliamentary petition",2005,"Policy",,"A Parliamentary petition (Early Day Motion 178) was opened calling for new legislation requiring annual 3 % cuts in carbon dioxide emissions.","On the same day, a Parliamentary petition (Early Day Motion 178) opened calling for new legislation requiring annual cuts in carbon dioxide emissions of 3 per cent."
"Campaign group urges MPs to sign Early Day Motion",2006,"Advocacy",,"In September 2006 the campaign group behind The Big Ask made an extra effort to encourage MPs to sign the Early Day Motion and to write to the Prime Minister for a new climate law.","In September 2006, the campaign group made an extra effort to encourage MPs to sign the Early Day Motion and to write to the Prime Minister calling for a new climate law."
"Enactment of the UK Climate Change Law",2008,"Policy",,"The UK climate law, the first of its kind in the world, came into force.","On 26 October 2008, the climate law became a reality, and the first law of its kind in the world."
